weather_id,date,hour,temperature_c,precipitation_mm,wind_kmh,visibility_m,cloud_cover,condition
WTH_00000160,2025-01-07,16,-0.9,0.0,16.7,6022.0,0.39,clear
WTH_00000161,2025-01-07,17,-0.2,0.0,20.0,9530.0,0.1,clear
WTH_00000162,2025-01-07,18,-3.4,0.0,16.1,11308.0,0.35,clear
WTH_00000163,2025-01-07,19,0.1,0.0,1.1,9833.0,0.21,clear
WTH_00000164,2025-01-07,20,2.2,0.0,10.7,7727.0,0.21,clear
WTH_00000165,2025-01-07,21,0.6,0.0,17.3,7563.0,0.18,clear
WTH_00000166,2025-01-07,22,2.8,5.39,5.1,938.0,1.0,rain
WTH_00000167,2025-01-07,23,-1.5,0.0,0.8,10628.0,0.13,clear
WTH_00000168,2025-01-08,0,0.5,0.0,11.8,7368.0,0.54,clear
WTH_00000169,2025-01-08,1,4.8,0.0,9.5,6493.0,0.32,clear
WTH_00000170,2025-01-08,2,6.7,0.0,16.7,6080.0,0.34,clear
WTH_00000171,2025-01-08,3,8.2,0.0,1.0,9841.0,0.6,cloudy
WTH_00000172,2025-01-08,4,6.1,0.0,9.4,10075.0,0.55,clear
WTH_00000173,2025-01-08,5,1.8,0.0,26.4,7887.0,0.69,cloudy
WTH_00000174,2025-01-08,6,6.7,0.0,2.6,7303.0,0.25,clear
WTH_00000175,2025-01-08,7,-0.1,0.0,4.1,7629.0,0.38,clear
WTH_00000176,2025-01-08,8,4.7,0.0,12.8,7044.0,0.08,clear
WTH_00000177,2025-01-08,9,0.9,0.0,14.9,9148.0,0.34,clear
WTH_00000178,2025-01-08,10,2.2,0.0,7.2,9108.0,0.33,clear
WTH_00000179,2025-01-08,11,-4.6,0.0,6.8,8905.0,0.33,clear
WTH_00000180,2025-01-08,12,-0.3,8.97,16.9,703.0,0.84,snow
WTH_00000181,2025-01-08,13,-1.8,0.0,7.7,8449.0,0.18,clear
WTH_00000182,2025-01-08,14,-3.7,0.0,12.1,7210.0,0.09,clear
WTH_00000183,2025-01-08,15,1.8,0.0,12.8,9937.0,0.47,clear
WTH_00000184,2025-01-08,16,-0.7,0.0,10.9,7475.0,0.22,clear
WTH_00000185,2025-01-08,17,-0.5,0.0,7.7,8111.0,0.47,clear
WTH_00000186,2025-01-08,18,5.8,0.0,23.0,9384.0,0.46,clear
WTH_00000187,2025-01-08,19,-0.4,0.0,26.3,7133.0,0.14,clear
WTH_00000188,2025-01-08,20,-2.5,0.0,8.0,10041.0,0.68,cloudy
WTH_00000189,2025-01-08,21,1.1,0.0,7.5,7004.0,0.28,clear
WTH_00000190,2025-01-08,22,3.3,0.0,14.7,7698.0,0.16,clear
WTH_00000191,2025-01-08,23,3.9,0.0,18.6,9757.0,0.4,clear
WTH_00000192,2025-01-09,0,1.0,0.0,10.9,11846.0,0.33,clear
WTH_00000193,2025-01-09,1,2.1,0.0,10.1,865.0,0.04,fog
WTH_00000194,2025-01-09,2,4.3,0.0,10.5,11965.0,0.26,clear
WTH_00000195,2025-01-09,3,8.3,0.0,14.6,11540.0,0.41,clear
WTH_00000196,2025-01-09,4,8.8,0.0,9.3,10884.0,0.33,clear
WTH_00000197,2025-01-09,5,6.0,0.0,24.4,9119.0,0.77,cloudy
WTH_00000198,2025-01-09,6,6.6,0.0,8.9,10624.0,0.44,clear
WTH_00000199,2025-01-09,7,5.7,0.0,11.2,8365.0,0.68,cloudy
WTH_00000200,2025-01-09,8,5.0,0.0,2.4,10817.0,0.2,clear
WTH_00000201,2025-01-09,9,2.3,0.0,13.6,6664.0,0.56,clear
WTH_00000202,2025-01-09,10,3.5,0.0,13.1,7435.0,0.19,clear
WTH_00000203,2025-01-09,11,-2.9,0.0,12.2,8858.0,0.17,clear
WTH_00000204,2025-01-09,12,-0.3,0.0,9.1,6346.0,0.45,clear
WTH_00000205,2025-01-09,13,-3.3,0.0,4.5,7716.0,0.57,clear
WTH_00000206,2025-01-09,14,-0.2,0.0,2.8,10464.0,0.57,clear
WTH_00000207,2025-01-09,15,-0.8,0.0,14.9,6357.0,0.23,clear
WTH_00000208,2025-01-09,16,-0.7,0.0,15.5,10207.0,0.34,clear
WTH_00000209,2025-01-09,17,-1.0,0.0,4.7,10896.0,0.08,clear
WTH_00000210,2025-01-09,18,-1.3,0.0,9.4,8691.0,0.54,clear
WTH_00000211,2025-01-09,19,-0.9,0.0,5.2,9239.0,0.55,clear
WTH_00000212,2025-01-09,20,4.7,0.0,19.4,10378.0,0.4,clear
WTH_00000213,2025-01-09,21,3.7,3.19,6.0,1850.0,0.55,rain
WTH_00000214,2025-01-09,22,2.3,0.0,21.7,6372.0,0.29,clear
WTH_00000215,2025-01-09,23,4.5,0.0,10.6,7974.0,0.04,clear
WTH_00000216,2025-01-10,0,5.0,5.15,23.0,1807.0,0.82,rain
WTH_00000217,2025-01-10,1,7.2,3.77,27.4,1531.0,1.0,rain
WTH_00000218,2025-01-10,2,4.9,13.3,21.3,1775.0,0.67,storm
WTH_00000219,2025-01-10,3,7.9,2.34,33.1,858.0,0.73,rain
WTH_00000220,2025-01-10,4,3.9,1.55,21.3,3199.0,1.0,rain
WTH_00000221,2025-01-10,5,3.3,4.42,28.0,2443.0,0.91,rain
WTH_00000222,2025-01-10,6,4.8,8.18,21.7,3901.0,1.0,storm
WTH_00000223,2025-01-10,7,5.1,11.1,26.4,2725.0,0.88,storm
WTH_00000224,2025-01-10,8,3.7,15.13,20.1,3540.0,0.67,storm
WTH_00000225,2025-01-10,9,-1.3,1.24,16.6,806.0,0.62,snow
WTH_00000226,2025-01-10,10,1.3,19.08,20.5,1766.0,0.51,snow
WTH_00000227,2025-01-10,11,0.7,2.79,34.0,2659.0,0.62,snow
WTH_00000228,2025-01-10,12,2.2,21.39,26.1,804.0,0.81,storm
WTH_00000229,2025-01-10,13,-2.4,5.45,21.7,1565.0,0.94,snow
WTH_00000230,2025-01-10,14,-0.9,4.19,28.5,813.0,0.77,snow
WTH_00000231,2025-01-10,15,0.3,14.44,41.5,972.0,0.65,snow
WTH_00000232,2025-01-10,16,-4.1,2.04,33.5,2884.0,0.66,snow
WTH_00000233,2025-01-10,17,-1.2,4.21,28.6,1975.0,0.49,snow
WTH_00000234,2025-01-10,18,-1.7,1.0,19.1,1723.0,0.84,snow
WTH_00000235,2025-01-10,19,4.1,5.93,27.3,3358.0,0.79,rain
WTH_00000236,2025-01-10,20,2.6,1.55,25.4,2803.0,0.94,rain
WTH_00000237,2025-01-10,21,6.8,7.52,33.2,1625.0,1.0,rain
WTH_00000238,2025-01-10,22,6.3,5.82,35.4,3885.0,0.48,rain
WTH_00000239,2025-01-10,23,4.1,4.85,31.2,2607.0,0.59,rain
WTH_00000240,2025-01-11,0,4.3,0.0,19.4,9651.0,0.21,clear
WTH_00000241,2025-01-11,1,5.1,0.0,21.5,8106.0,0.46,clear
WTH_00000242,2025-01-11,2,6.3,0.0,35.5,6540.0,0.32,clear
WTH_00000243,2025-01-11,3,2.6,0.0,9.2,10650.0,0.14,clear
WTH_00000244,2025-01-11,4,10.0,0.0,14.4,7776.0,0.23,clear
WTH_00000245,2025-01-11,5,3.9,0.0,11.1,10158.0,0.6,cloudy
WTH_00000246,2025-01-11,6,4.9,0.0,39.3,6865.0,0.6,cloudy
WTH_00000247,2025-01-11,7,3.7,0.0,11.1,10774.0,0.27,clear
WTH_00000248,2025-01-11,8,1.6,0.0,14.8,10549.0,0.23,clear
WTH_00000249,2025-01-11,9,3.0,0.0,6.2,9242.0,0.21,clear
WTH_00000250,2025-01-11,10,3.2,0.0,4.0,6893.0,0.49,clear
WTH_00000251,2025-01-11,11,-1.5,0.0,8.8,7652.0,0.4,clear
WTH_00000252,2025-01-11,12,-2.2,0.0,17.1,6943.0,0.21,clear
WTH_00000253,2025-01-11,13,2.3,0.0,5.8,636.0,0.24,fog
WTH_00000254,2025-01-11,14,-2.5,0.0,8.3,8025.0,0.17,clear
WTH_00000255,2025-01-11,15,-3.4,0.0,1.7,10866.0,0.08,clear
WTH_00000256,2025-01-11,16,-4.1,0.0,1.9,9655.0,0.46,clear
WTH_00000257,2025-01-11,17,0.4,0.0,5.6,10468.0,0.41,clear
WTH_00000258,2025-01-11,18,-3.0,0.0,35.0,11703.0,0.25,clear
WTH_00000259,2025-01-11,19,-0.1,0.0,9.5,388.0,0.37,fog
WTH_00000260,2025-01-11,20,0.0,0.0,19.2,11906.0,0.14,clear
WTH_00000261,2025-01-11,21,-2.5,0.0,9.9,10930.0,0.08,clear
WTH_00000262,2025-01-11,22,3.0,0.0,21.3,6881.0,0.42,clear
WTH_00000263,2025-01-11,23,0.6,0.0,13.0,6590.0,0.3,clear
WTH_00000264,2025-01-12,0,3.9,0.0,12.5,11931.0,0.38,clear
WTH_00000265,2025-01-12,1,1.6,0.0,25.9,7987.0,0.63,cloudy
WTH_00000266,2025-01-12,2,5.7,0.0,22.0,10927.0,0.1,clear
WTH_00000267,2025-01-12,3,1.3,4.7,4.0,2257.0,0.58,snow
WTH_00000268,2025-01-12,4,7.2,0.0,12.5,6550.0,0.26,clear
WTH_00000269,2025-01-12,5,5.9,0.0,7.3,7727.0,0.25,clear
WTH_00000270,2025-01-12,6,4.5,0.0,32.3,10405.0,0.34,clear
WTH_00000271,2025-01-12,7,0.3,0.0,15.6,8034.0,0.33,clear
WTH_00000272,2025-01-12,8,1.6,0.0,7.3,630.0,0.18,fog
WTH_00000273,2025-01-12,9,2.4,0.0,6.5,11998.0,0.41,clear
WTH_00000274,2025-01-12,10,-1.6,0.0,30.0,10135.0,0.37,clear
WTH_00000275,2025-01-12,11,1.4,0.0,18.8,9786.0,0.15,clear
WTH_00000276,2025-01-12,12,-0.8,0.0,2.8,6187.0,0.31,clear
WTH_00000277,2025-01-12,13,-1.2,0.0,5.1,11516.0,0.46,clear
WTH_00000278,2025-01-12,14,-3.3,0.0,10.3,1152.0,0.23,fog
WTH_00000279,2025-01-12,15,-1.9,0.0,7.4,9303.0,0.25,clear
WTH_00000280,2025-01-12,16,-0.6,0.0,9.8,8892.0,0.15,clear
WTH_00000281,2025-01-12,17,-3.2,0.0,55.1,990.0,0.5,fog
WTH_00000282,2025-01-12,18,0.6,0.0,1.9,7888.0,0.39,clear
WTH_00000283,2025-01-12,19,-0.6,0.0,35.0,10140.0,0.37,clear
WTH_00000284,2025-01-12,20,1.5,0.0,14.6,7480.0,0.69,cloudy
WTH_00000285,2025-01-12,21,2.2,0.0,4.2,11139.0,0.51,clear
WTH_00000286,2025-01-12,22,1.4,0.0,0.8,11942.0,0.41,clear
WTH_00000287,2025-01-12,23,4.0,0.0,4.3,7334.0,0.7,cloudy
WTH_00000288,2025-01-13,0,0.7,0.0,7.2,6804.0,0.19,clear
WTH_00000289,2025-01-13,1,4.9,0.0,8.0,10069.0,0.58,clear
WTH_00000290,2025-01-13,2,6.0,0.0,37.9,7112.0,0.44,clear
WTH_00000291,2025-01-13,3,8.9,0.0,2.1,6326.0,0.54,clear
WTH_00000292,2025-01-13,4,6.5,0.0,27.0,8058.0,0.36,clear
WTH_00000293,2025-01-13,5,3.5,1.71,16.9,922.0,0.91,rain
WTH_00000294,2025-01-13,6,1.5,0.0,13.3,11002.0,0.26,clear
WTH_00000295,2025-01-13,7,3.5,0.0,9.5,703.0,0.21,fog
WTH_00000296,2025-01-13,8,0.2,0.0,5.3,8515.0,0.09,clear
WTH_00000297,2025-01-13,9,5.5,0.0,22.0,9816.0,0.42,clear
WTH_00000298,2025-01-13,10,-1.7,0.0,2.3,11487.0,0.07,clear
WTH_00000299,2025-01-13,11,-1.4,0.0,12.1,11703.0,0.45,clear
WTH_00000300,2025-01-13,12,-2.3,0.0,3.2,8053.0,0.04,clear
WTH_00000301,2025-01-13,13,-1.3,0.0,3.2,11662.0,0.39,clear
WTH_00000302,2025-01-13,14,-2.4,0.0,16.6,8222.0,0.46,clear
WTH_00000303,2025-01-13,15,-2.5,0.0,8.5,11059.0,0.57,clear
WTH_00000304,2025-01-13,16,-2.4,0.0,5.5,8092.0,0.65,cloudy
WTH_00000305,2025-01-13,17,-1.0,0.0,16.2,8968.0,0.12,clear
WTH_00000306,2025-01-13,18,2.2,0.0,12.5,10462.0,0.41,clear
WTH_00000307,2025-01-13,19,3.8,0.0,4.0,7206.0,0.15,clear
WTH_00000308,2025-01-13,20,1.9,0.0,2.8,6003.0,0.59,clear
WTH_00000309,2025-01-13,21,1.8,0.0,4.8,10724.0,0.12,clear
WTH_00000310,2025-01-13,22,4.0,2.27,38.3,2532.0,1.0,rain
WTH_00000311,2025-01-13,23,4.5,0.0,7.4,7750.0,0.28,clear
WTH_00000312,2025-01-14,0,2.8,0.0,2.9,8563.0,0.18,clear
WTH_00000313,2025-01-14,1,2.0,0.0,9.8,7901.0,0.4,clear
WTH_00000314,2025-01-14,2,9.0,0.0,7.4,8112.0,0.43,clear
WTH_00000315,2025-01-14,3,6.5,0.0,2.2,8404.0,0.34,clear
WTH_00000316,2025-01-14,4,8.6,0.0,12.2,11564.0,0.48,clear
WTH_00000317,2025-01-14,5,11.6,0.0,6.5,6605.0,0.36,clear
WTH_00000318,2025-01-14,6,5.7,0.0,28.4,10342.0,0.54,clear
WTH_00000319,2025-01-14,7,0.3,0.0,0.7,10628.0,0.31,clear
WTH_00000320,2025-01-14,8,2.9,0.0,7.8,7866.0,0.5,clear
WTH_00000321,2025-01-14,9,-0.4,0.0,5.5,7115.0,0.29,clear
WTH_00000322,2025-01-14,10,-1.3,11.96,3.0,665.0,0.86,snow
WTH_00000323,2025-01-14,11,-0.8,0.0,23.1,7187.0,0.05,clear
WTH_00000324,2025-01-14,12,-1.7,0.0,22.7,11540.0,0.11,clear
WTH_00000325,2025-01-14,13,0.3,0.0,3.2,11589.0,0.3,clear
WTH_00000326,2025-01-14,14,-1.3,0.0,12.4,6440.0,0.53,clear
WTH_00000327,2025-01-14,15,-5.6,0.0,7.5,9176.0,0.11,clear
WTH_00000328,2025-01-14,16,-1.1,0.0,12.3,8039.0,0.5,clear
WTH_00000329,2025-01-14,17,-3.9,0.0,5.5,7666.0,0.29,clear
WTH_00000330,2025-01-14,18,-2.3,0.0,2.0,8487.0,0.44,clear
WTH_00000331,2025-01-14,19,-4.4,0.0,10.6,7145.0,0.45,clear
WTH_00000332,2025-01-14,20,1.8,0.0,8.0,6723.0,0.37,clear
WTH_00000333,2025-01-14,21,0.2,6.79,13.4,1633.0,0.55,snow
WTH_00000334,2025-01-14,22,5.2,0.0,6.5,8221.0,0.69,cloudy
