witness_id,home_borough,total_reports,reports_with_photo,avg_statement_certainty,preferred_report_channel
WIT_00000062,Queens,14,6,0.526,mobile_app
WIT_00000063,Brooklyn,10,5,0.193,mobile_app
WIT_00000064,Staten_Island,6,2,0.486,mobile_app
WIT_00000065,Brooklyn,13,7,0.389,mobile_app
WIT_00000066,Manhattan,16,6,0.227,mobile_app
WIT_00000067,Brooklyn,22,4,0.316,mobile_app
WIT_00000068,Manhattan,22,13,0.347,mobile_app
WIT_00000069,Brooklyn,22,8,0.224,mobile_app
WIT_00000070,Queens,11,1,0.133,mobile_app
WIT_00000071,Staten_Island,5,0,0.244,anonymous_tip
WIT_00000072,Manhattan,15,8,0.43,mobile_app
WIT_00000073,Manhattan,18,7,0.403,mobile_app
WIT_00000074,Brooklyn,12,2,0.416,mobile_app
WIT_00000075,Manhattan,18,8,0.398,anonymous_tip
WIT_00000076,Brooklyn,19,6,0.364,mobile_app
WIT_00000077,Brooklyn,28,14,0.313,mobile_app
WIT_00000078,Queens,14,8,0.211,mobile_app
WIT_00000079,Queens,10,3,0.164,mobile_app
WIT_00000080,Brooklyn,21,8,0.195,mobile_app
WIT_00000081,Bronx,3,2,0.503,mobile_app
WIT_00000082,Manhattan,19,8,0.38,mobile_app
WIT_00000083,Manhattan,16,6,0.461,mobile_app
WIT_00000084,Staten_Island,5,2,0.475,mobile_app
WIT_00000085,Brooklyn,16,5,0.567,mobile_app
WIT_00000086,Brooklyn,13,6,0.304,mobile_app
WIT_00000087,Manhattan,15,9,0.292,mobile_app
WIT_00000088,Brooklyn,12,4,0.382,mobile_app
WIT_00000089,Brooklyn,24,10,0.285,mobile_app
WIT_00000090,Queens,15,3,0.214,mobile_app
WIT_00000091,Queens,19,6,0.178,mobile_app
WIT_00000092,Bronx,14,7,0.412,mobile_app
WIT_00000093,Queens,18,6,0.185,mobile_app
WIT_00000094,Bronx,11,4,0.408,anonymous_tip
WIT_00000095,Brooklyn,16,11,0.326,police_scanner
WIT_00000096,Manhattan,11,6,0.198,mobile_app
WIT_00000097,Bronx,12,6,0.518,mobile_app
WIT_00000098,Brooklyn,16,6,0.35,mobile_app
WIT_00000099,Manhattan,14,5,0.102,mobile_app
WIT_00000100,Brooklyn,19,12,0.333,mobile_app
WIT_00000101,Brooklyn,17,7,0.515,social_media
WIT_00000102,Bronx,14,7,0.492,mobile_app
WIT_00000103,Manhattan,18,7,0.478,mobile_app
WIT_00000104,Manhattan,13,5,0.354,mobile_app
WIT_00000105,Bronx,15,3,0.319,mobile_app
WIT_00000106,Manhattan,21,8,0.365,mobile_app
WIT_00000107,Manhattan,15,4,0.17,mobile_app
WIT_00000108,Brooklyn,15,5,0.321,mobile_app
WIT_00000109,Staten_Island,8,3,0.296,mobile_app
WIT_00000110,Brooklyn,16,11,0.452,mobile_app
WIT_00000111,Manhattan,15,7,0.5,mobile_app
WIT_00000112,Queens,7,4,0.289,mobile_app
WIT_00000113,Manhattan,6,0,0.204,mobile_app
WIT_00000114,Bronx,17,6,0.598,social_media
WIT_00000115,Queens,20,11,0.346,mobile_app
WIT_00000116,Brooklyn,15,6,0.256,mobile_app
WIT_00000117,Bronx,12,4,0.428,mobile_app
WIT_00000118,Manhattan,15,9,0.329,mobile_app
WIT_00000119,Queens,23,9,0.263,mobile_app
WIT_00000120,Manhattan,21,8,0.466,mobile_app
WIT_00000121,Queens,15,2,0.346,mobile_app
WIT_00000122,Bronx,6,2,0.181,mobile_app
WIT_00000123,Bronx,13,3,0.102,mobile_app
WIT_00000124,Manhattan,9,1,0.366,mobile_app
WIT_00000125,Bronx,14,5,0.434,mobile_app
WIT_00000126,Manhattan,17,6,0.285,mobile_app
WIT_00000127,Manhattan,14,2,0.208,social_media
WIT_00000128,Staten_Island,7,2,0.361,mobile_app
WIT_00000129,Queens,16,7,0.357,mobile_app
WIT_00000130,Manhattan,15,4,0.518,social_media
WIT_00000131,Staten_Island,5,2,0.323,mobile_app
WIT_00000132,Manhattan,16,1,0.489,mobile_app
WIT_00000133,Manhattan,19,3,0.526,mobile_app
WIT_00000134,Queens,13,5,0.37,mobile_app
WIT_00000135,Manhattan,15,4,0.274,mobile_app
WIT_00000136,Brooklyn,17,3,0.284,mobile_app
WIT_00000137,Staten_Island,13,2,0.401,social_media
WIT_00000138,Queens,14,4,0.264,mobile_app
WIT_00000139,Manhattan,10,6,0.353,social_media
WIT_00000140,Staten_Island,8,5,0.222,camera_network
WIT_00000141,Brooklyn,13,4,0.426,mobile_app
WIT_00000142,Staten_Island,9,5,0.529,mobile_app
WIT_00000143,Manhattan,16,3,0.192,mobile_app
WIT_00000144,Manhattan,21,8,0.326,mobile_app
WIT_00000145,Staten_Island,4,1,0.444,social_media
WIT_00000146,Brooklyn,10,4,0.182,social_media
WIT_00000147,Manhattan,9,1,0.588,mobile_app
WIT_00000148,Manhattan,16,5,0.528,mobile_app
WIT_00000149,Queens,17,2,0.159,mobile_app
WIT_00000150,Bronx,6,1,0.112,mobile_app
WIT_00000151,Brooklyn,16,5,0.417,mobile_app
WIT_00000152,Bronx,11,5,0.299,mobile_app
WIT_00000153,Brooklyn,10,1,0.084,mobile_app
WIT_00000154,Manhattan,18,9,0.417,mobile_app
WIT_00000155,Queens,15,4,0.286,mobile_app
WIT_00000156,Brooklyn,24,6,0.534,mobile_app
WIT_00000157,Manhattan,16,2,0.126,mobile_app
WIT_00000158,Bronx,12,5,0.476,police_scanner
WIT_00000159,Manhattan,20,5,0.273,mobile_app
WIT_00000160,Manhattan,15,2,0.377,anonymous_tip
WIT_00000161,Manhattan,13,5,0.482,mobile_app
WIT_00000162,Manhattan,11,3,0.311,camera_network
WIT_00000163,Staten_Island,12,5,0.342,social_media
WIT_00000164,Queens,14,1,0.217,police_scanner
WIT_00000165,Brooklyn,14,7,0.304,mobile_app
WIT_00000166,Bronx,10,6,0.292,social_media
WIT_00000167,Staten_Island,6,3,0.435,mobile_app
WIT_00000168,Staten_Island,7,1,0.268,mobile_app
WIT_00000169,Manhattan,22,7,0.422,mobile_app
WIT_00000170,Queens,9,2,0.137,news_report
WIT_00000171,Bronx,4,3,0.328,camera_network
WIT_00000172,Bronx,12,6,0.454,mobile_app
WIT_00000173,Bronx,9,4,0.478,mobile_app
WIT_00000174,Brooklyn,21,9,0.42,mobile_app
WIT_00000175,Queens,20,7,0.243,mobile_app
WIT_00000176,Manhattan,17,6,0.469,mobile_app
WIT_00000177,Manhattan,20,10,0.468,mobile_app
WIT_00000178,Manhattan,15,5,0.242,mobile_app
WIT_00000179,Queens,11,1,0.286,mobile_app
WIT_00000180,Manhattan,15,3,0.278,mobile_app
WIT_00000181,Brooklyn,18,5,0.326,mobile_app
WIT_00000182,Manhattan,13,5,0.407,social_media
WIT_00000183,Bronx,7,2,0.299,mobile_app
WIT_00000184,Bronx,8,2,0.416,police_scanner
WIT_00000185,Queens,16,9,0.226,mobile_app
WIT_00000186,Manhattan,13,5,0.527,mobile_app
WIT_00000187,Bronx,11,3,0.392,mobile_app
WIT_00000188,Staten_Island,5,1,0.247,social_media
WIT_00000189,Bronx,14,5,0.482,police_scanner
WIT_00000190,Queens,9,5,0.221,police_scanner
WIT_00000191,Staten_Island,3,2,0.567,mobile_app
WIT_00000192,Manhattan,21,8,0.381,mobile_app
WIT_00000193,Manhattan,19,6,0.492,mobile_app
WIT_00000194,Manhattan,19,5,0.212,mobile_app
WIT_00000195,Brooklyn,16,6,0.262,mobile_app
WIT_00000196,Brooklyn,21,8,0.386,mobile_app
WIT_00000197,Manhattan,15,9,0.526,mobile_app
WIT_00000198,Manhattan,23,6,0.265,mobile_app
WIT_00000199,Bronx,7,0,0.333,social_media
WIT_00000200,Manhattan,14,5,0.245,mobile_app
WIT_00000201,Manhattan,13,5,0.304,mobile_app
WIT_00000202,Queens,13,5,0.269,social_media
WIT_00000203,Brooklyn,17,5,0.381,mobile_app
WIT_00000204,Manhattan,12,7,0.204,mobile_app
WIT_00000205,Brooklyn,11,5,0.153,mobile_app
WIT_00000206,Staten_Island,8,6,0.294,mobile_app
WIT_00000207,Brooklyn,15,3,0.368,mobile_app
WIT_00000208,Staten_Island,7,1,0.303,mobile_app
WIT_00000209,Queens,20,12,0.241,police_scanner
WIT_00000210,Bronx,12,4,0.356,social_media
WIT_00000211,Manhattan,14,6,0.418,mobile_app
WIT_00000212,Brooklyn,23,9,0.264,mobile_app
WIT_00000213,Brooklyn,16,3,0.299,mobile_app
WIT_00000214,Manhattan,10,1,0.306,mobile_app
WIT_00000215,Brooklyn,16,7,0.448,anonymous_tip
WIT_00000216,Bronx,12,2,0.505,mobile_app
WIT_00000217,Manhattan,14,8,0.359,anonymous_tip
WIT_00000218,Manhattan,15,3,0.511,mobile_app
WIT_00000219,Brooklyn,12,4,0.485,anonymous_tip
WIT_00000220,Bronx,14,6,0.195,social_media
WIT_00000221,Bronx,9,4,0.476,mobile_app
WIT_00000222,Queens,10,5,0.234,mobile_app
WIT_00000223,Brooklyn,10,3,0.301,mobile_app
WIT_00000224,Brooklyn,14,5,0.344,mobile_app
WIT_00000225,Bronx,9,4,0.458,social_media
WIT_00000226,Bronx,15,6,0.428,mobile_app
WIT_00000227,Queens,9,3,0.297,mobile_app
WIT_00000228,Manhattan,15,5,0.561,mobile_app
WIT_00000229,Brooklyn,16,2,0.13,mobile_app
WIT_00000230,Queens,14,5,0.413,mobile_app
WIT_00000231,Brooklyn,18,5,0.234,mobile_app
WIT_00000232,Queens,19,5,0.501,mobile_app
WIT_00000233,Manhattan,20,7,0.403,mobile_app
WIT_00000234,Staten_Island,5,1,0.251,mobile_app
WIT_00000235,Manhattan,18,7,0.401,mobile_app
WIT_00000236,Bronx,9,2,0.425,mobile_app
WIT_00000237,Manhattan,14,8,0.378,mobile_app
WIT_00000238,Bronx,12,5,0.375,police_scanner
WIT_00000239,Queens,14,7,0.239,mobile_app
WIT_00000240,Queens,16,4,0.444,anonymous_tip
WIT_00000241,Manhattan,13,5,0.423,mobile_app
WIT_00000242,Brooklyn,14,5,0.197,mobile_app
WIT_00000243,Brooklyn,16,4,0.421,mobile_app
WIT_00000244,Staten_Island,7,1,0.432,mobile_app
WIT_00000245,Manhattan,20,8,0.198,mobile_app
WIT_00000246,Queens,14,4,0.385,mobile_app
WIT_00000247,Brooklyn,13,7,0.432,mobile_app
WIT_00000248,Manhattan,21,6,0.329,police_scanner
WIT_00000249,Queens,13,3,0.424,mobile_app
WIT_00000250,Queens,18,5,0.199,anonymous_tip
WIT_00000251,Bronx,14,5,0.341,mobile_app
WIT_00000252,Bronx,11,4,0.192,social_media
WIT_00000253,Brooklyn,13,5,0.132,police_scanner
WIT_00000254,Queens,10,5,0.391,mobile_app
WIT_00000255,Bronx,17,7,0.511,mobile_app
WIT_00000256,Manhattan,15,9,0.444,social_media
WIT_00000257,Bronx,6,3,0.34,anonymous_tip
WIT_00000258,Brooklyn,15,4,0.406,mobile_app
WIT_00000259,Queens,10,1,0.31,mobile_app
WIT_00000260,Bronx,8,1,0.273,mobile_app
WIT_00000261,Bronx,14,4,0.362,mobile_app
WIT_00000262,Staten_Island,6,5,0.434,mobile_app
WIT_00000263,Manhattan,13,8,0.374,mobile_app
WIT_00000264,Queens,18,6,0.276,mobile_app
WIT_00000265,Bronx,13,6,0.373,mobile_app
WIT_00000266,Manhattan,17,7,0.448,mobile_app
WIT_00000267,Bronx,6,4,0.268,mobile_app
WIT_00000268,Staten_Island,13,6,0.301,social_media
WIT_00000269,Queens,18,10,0.564,mobile_app
WIT_00000270,Brooklyn,13,5,0.287,social_media
WIT_00000271,Manhattan,11,5,0.329,mobile_app
WIT_00000272,Manhattan,9,0,0.275,mobile_app
WIT_00000273,Manhattan,17,7,0.253,mobile_app
WIT_00000274,Brooklyn,17,6,0.226,mobile_app
WIT_00000275,Staten_Island,9,5,0.345,mobile_app
WIT_00000276,Manhattan,10,3,0.477,mobile_app
WIT_00000277,Queens,8,3,0.186,mobile_app
WIT_00000278,Staten_Island,7,2,0.432,mobile_app
WIT_00000279,Brooklyn,17,7,0.459,mobile_app
WIT_00000280,Manhattan,13,3,0.306,mobile_app
WIT_00000281,Manhattan,15,8,0.532,mobile_app
WIT_00000282,Manhattan,14,4,0.329,mobile_app
WIT_00000283,Manhattan,18,7,0.441,mobile_app
WIT_00000284,Brooklyn,19,6,0.158,mobile_app
WIT_00000285,Queens,18,1,0.137,mobile_app
WIT_00000286,Queens,7,2,0.113,mobile_app
WIT_00000287,Bronx,8,2,0.53,mobile_app
WIT_00000288,Manhattan,7,1,0.265,anonymous_tip
WIT_00000289,Bronx,8,5,0.597,mobile_app
WIT_00000290,Bronx,7,0,0.27,mobile_app
WIT_00000291,Staten_Island,9,3,0.137,mobile_app
WIT_00000292,Manhattan,13,4,0.34,mobile_app
WIT_00000293,Manhattan,18,6,0.345,mobile_app
WIT_00000294,Brooklyn,19,10,0.306,mobile_app
WIT_00000295,Manhattan,16,5,0.514,police_scanner
WIT_00000296,Queens,15,3,0.261,mobile_app
WIT_00000297,Queens,12,4,0.138,police_scanner
WIT_00000298,Queens,16,3,0.308,mobile_app
WIT_00000299,Manhattan,18,6,0.178,mobile_app
WIT_00000300,Brooklyn,20,7,0.386,mobile_app
WIT_00000301,Manhattan,16,7,0.392,social_media
WIT_00000302,Manhattan,14,4,0.155,mobile_app
WIT_00000303,Bronx,3,2,0.159,mobile_app
WIT_00000304,Manhattan,11,4,0.339,mobile_app
WIT_00000305,Staten_Island,12,5,0.216,anonymous_tip
WIT_00000306,Queens,13,8,0.298,mobile_app
WIT_00000307,Bronx,12,4,0.445,mobile_app
WIT_00000308,Queens,14,5,0.458,mobile_app
WIT_00000309,Brooklyn,11,5,0.391,mobile_app
WIT_00000310,Staten_Island,11,3,0.331,mobile_app
WIT_00000311,Manhattan,19,8,0.488,mobile_app
WIT_00000312,Queens,15,6,0.388,police_scanner
WIT_00000313,Brooklyn,22,8,0.358,mobile_app
WIT_00000314,Manhattan,22,8,0.352,mobile_app
WIT_00000315,Queens,13,2,0.419,mobile_app
WIT_00000316,Bronx,13,6,0.365,police_scanner
WIT_00000317,Staten_Island,9,2,0.291,social_media
WIT_00000318,Queens,15,5,0.234,news_report
WIT_00000319,Bronx,9,3,0.311,mobile_app
WIT_00000320,Manhattan,10,4,0.38,mobile_app
WIT_00000321,Manhattan,16,8,0.264,social_media
WIT_00000322,Brooklyn,23,10,0.173,mobile_app
WIT_00000323,Brooklyn,16,8,0.349,mobile_app
WIT_00000324,Staten_Island,9,4,0.495,police_scanner
WIT_00000325,Bronx,11,5,0.449,police_scanner
WIT_00000326,Brooklyn,15,3,0.327,mobile_app
WIT_00000327,Bronx,11,4,0.388,mobile_app
WIT_00000328,Queens,13,4,0.207,mobile_app
WIT_00000329,Staten_Island,13,2,0.308,social_media
WIT_00000330,Manhattan,20,10,0.242,mobile_app
WIT_00000331,Queens,15,6,0.387,mobile_app
WIT_00000332,Staten_Island,4,1,0.35,anonymous_tip
WIT_00000333,Bronx,12,6,0.358,mobile_app
WIT_00000334,Staten_Island,6,0,0.131,police_scanner
WIT_00000335,Brooklyn,23,11,0.552,mobile_app
WIT_00000336,Manhattan,12,8,0.509,anonymous_tip
WIT_00000337,Bronx,18,5,0.501,mobile_app
WIT_00000338,Manhattan,17,4,0.235,mobile_app
WIT_00000339,Brooklyn,11,4,0.41,mobile_app
WIT_00000340,Manhattan,17,7,0.368,mobile_app
WIT_00000341,Staten_Island,6,4,0.343,mobile_app
WIT_00000342,Queens,12,4,0.333,mobile_app
WIT_00000343,Brooklyn,15,2,0.379,mobile_app
WIT_00000344,Staten_Island,6,2,0.332,camera_network
WIT_00000345,Manhattan,15,7,0.363,mobile_app
WIT_00000346,Brooklyn,13,4,0.202,mobile_app
WIT_00000347,Staten_Island,8,0,0.271,mobile_app
WIT_00000348,Bronx,6,0,0.446,mobile_app
WIT_00000349,Brooklyn,20,5,0.314,mobile_app
WIT_00000350,Brooklyn,23,9,0.305,mobile_app
WIT_00000351,Queens,14,6,0.241,social_media
WIT_00000352,Manhattan,17,5,0.478,mobile_app
WIT_00000353,Brooklyn,20,8,0.316,mobile_app
WIT_00000354,Queens,16,4,0.266,mobile_app
WIT_00000355,Bronx,10,1,0.355,police_scanner
WIT_00000356,Brooklyn,17,2,0.195,mobile_app
WIT_00000357,Manhattan,17,7,0.432,mobile_app
WIT_00000358,Brooklyn,21,7,0.253,mobile_app
WIT_00000359,Bronx,8,3,0.402,mobile_app
WIT_00000360,Brooklyn,20,5,0.397,mobile_app
WIT_00000361,Brooklyn,15,11,0.476,mobile_app
WIT_00000362,Staten_Island,4,1,0.417,social_media
WIT_00000363,Queens,20,8,0.427,anonymous_tip
WIT_00000364,Bronx,13,7,0.338,social_media
WIT_00000365,Queens,11,4,0.535,social_media
WIT_00000366,Manhattan,15,7,0.44,social_media
WIT_00000367,Queens,14,6,0.36,mobile_app
WIT_00000368,Brooklyn,9,3,0.348,anonymous_tip
WIT_00000369,Manhattan,9,7,0.16,anonymous_tip
WIT_00000370,Queens,10,2,0.21,mobile_app
WIT_00000371,Brooklyn,24,7,0.453,mobile_app
WIT_00000372,Manhattan,12,4,0.265,social_media
WIT_00000373,Staten_Island,2,1,0.362,mobile_app
WIT_00000374,Manhattan,18,7,0.466,anonymous_tip
WIT_00000375,Bronx,7,2,0.415,mobile_app
WIT_00000376,Bronx,10,8,0.329,mobile_app
WIT_00000377,Bronx,17,8,0.453,mobile_app
WIT_00000378,Brooklyn,15,5,0.211,mobile_app
WIT_00000379,Manhattan,18,11,0.326,mobile_app
WIT_00000380,Manhattan,9,4,0.288,anonymous_tip
WIT_00000381,Staten_Island,4,1,0.348,mobile_app
WIT_00000382,Manhattan,15,2,0.206,anonymous_tip
WIT_00000383,Manhattan,20,9,0.23,social_media
WIT_00000384,Bronx,18,2,0.371,mobile_app
WIT_00000385,Queens,11,5,0.175,mobile_app
WIT_00000386,Bronx,18,6,0.089,mobile_app
WIT_00000387,Queens,16,7,0.34,police_scanner
WIT_00000388,Staten_Island,12,3,0.379,mobile_app
WIT_00000389,Bronx,9,3,0.225,mobile_app
WIT_00000390,Bronx,4,4,0.493,mobile_app
WIT_00000391,Brooklyn,16,8,0.274,mobile_app
WIT_00000392,Queens,17,7,0.529,mobile_app
WIT_00000393,Bronx,7,3,0.282,mobile_app
WIT_00000394,Staten_Island,12,4,0.426,mobile_app
WIT_00000395,Brooklyn,23,10,0.33,mobile_app
WIT_00000396,Queens,13,7,0.365,mobile_app
WIT_00000397,Manhattan,11,4,0.144,mobile_app
WIT_00000398,Brooklyn,13,5,0.453,mobile_app
WIT_00000399,Manhattan,12,3,0.266,mobile_app
WIT_00000400,Brooklyn,18,4,0.404,mobile_app
WIT_00000401,Brooklyn,19,5,0.61,mobile_app
WIT_00000402,Staten_Island,5,2,0.419,anonymous_tip
WIT_00000403,Manhattan,6,3,0.403,mobile_app
WIT_00000404,Queens,12,3,0.218,mobile_app
WIT_00000405,Staten_Island,7,1,0.465,anonymous_tip
WIT_00000406,Brooklyn,17,4,0.154,mobile_app
WIT_00000407,Manhattan,16,10,0.434,mobile_app
WIT_00000408,Manhattan,15,6,0.236,mobile_app
WIT_00000409,Brooklyn,13,9,0.241,mobile_app
WIT_00000410,Manhattan,17,6,0.225,mobile_app
WIT_00000411,Manhattan,14,3,0.49,mobile_app
WIT_00000412,Brooklyn,17,8,0.254,mobile_app
WIT_00000413,Queens,13,4,0.415,mobile_app
WIT_00000414,Bronx,11,2,0.262,social_media
WIT_00000415,Queens,13,3,0.28,mobile_app
WIT_00000416,Queens,15,6,0.16,mobile_app
WIT_00000417,Manhattan,13,8,0.143,mobile_app
WIT_00000418,Staten_Island,8,5,0.408,police_scanner
WIT_00000419,Manhattan,18,8,0.368,anonymous_tip
WIT_00000420,Queens,14,6,0.18,mobile_app
WIT_00000421,Queens,22,12,0.514,mobile_app
WIT_00000422,Staten_Island,5,3,0.352,mobile_app
WIT_00000423,Manhattan,13,4,0.503,mobile_app
WIT_00000424,Brooklyn,13,7,0.358,mobile_app
WIT_00000425,Brooklyn,13,5,0.306,mobile_app
WIT_00000426,Manhattan,20,7,0.42,mobile_app
WIT_00000427,Queens,20,10,0.376,mobile_app
WIT_00000428,Brooklyn,16,5,0.32,mobile_app
WIT_00000429,Queens,17,6,0.222,mobile_app
WIT_00000430,Manhattan,15,5,0.572,mobile_app
WIT_00000431,Queens,13,4,0.198,mobile_app
WIT_00000432,Queens,19,10,0.29,mobile_app
WIT_00000433,Bronx,6,3,0.158,social_media
WIT_00000434,Brooklyn,21,9,0.381,mobile_app
WIT_00000435,Queens,12,4,0.314,mobile_app
WIT_00000436,Manhattan,14,1,0.283,anonymous_tip
WIT_00000437,Manhattan,16,8,0.298,police_scanner
WIT_00000438,Queens,14,6,0.428,social_media
WIT_00000439,Manhattan,9,3,0.383,mobile_app
WIT_00000440,Manhattan,13,4,0.474,mobile_app
WIT_00000441,Brooklyn,10,3,0.195,mobile_app
WIT_00000442,Brooklyn,13,6,0.405,social_media
WIT_00000443,Staten_Island,8,2,0.142,anonymous_tip
WIT_00000444,Manhattan,17,6,0.417,police_scanner
WIT_00000445,Manhattan,13,6,0.397,mobile_app
WIT_00000446,Bronx,12,6,0.3,mobile_app
WIT_00000447,Manhattan,15,3,0.339,mobile_app
WIT_00000448,Brooklyn,17,7,0.371,camera_network
WIT_00000449,Brooklyn,25,10,0.345,mobile_app
WIT_00000450,Manhattan,11,5,0.495,mobile_app
WIT_00000451,Bronx,11,4,0.377,mobile_app
WIT_00000452,Bronx,14,6,0.235,mobile_app
WIT_00000453,Manhattan,15,5,0.197,mobile_app
WIT_00000454,Brooklyn,21,5,0.45,mobile_app
WIT_00000455,Manhattan,15,6,0.261,mobile_app
WIT_00000456,Staten_Island,7,2,0.227,social_media
WIT_00000457,Queens,17,6,0.398,police_scanner
WIT_00000458,Staten_Island,11,4,0.448,anonymous_tip
WIT_00000459,Staten_Island,6,3,0.301,mobile_app
WIT_00000460,Brooklyn,15,7,0.203,mobile_app
WIT_00000461,Manhattan,14,2,0.351,police_scanner
WIT_00000462,Bronx,8,3,0.384,camera_network
WIT_00000463,Manhattan,11,4,0.317,social_media
WIT_00000464,Manhattan,16,8,0.337,mobile_app
WIT_00000465,Manhattan,14,3,0.53,mobile_app
WIT_00000466,Queens,18,6,0.465,mobile_app
WIT_00000467,Bronx,4,1,0.266,mobile_app
WIT_00000468,Queens,20,5,0.446,mobile_app
WIT_00000469,Bronx,15,5,0.34,mobile_app
WIT_00000470,Brooklyn,15,6,0.469,mobile_app
WIT_00000471,Manhattan,11,5,0.333,mobile_app
WIT_00000472,Manhattan,18,9,0.283,mobile_app
WIT_00000473,Manhattan,21,7,0.483,mobile_app
WIT_00000474,Bronx,10,2,0.137,mobile_app
WIT_00000475,Manhattan,14,5,0.382,mobile_app
WIT_00000476,Queens,6,0,0.176,social_media
WIT_00000477,Bronx,9,2,0.391,mobile_app
WIT_00000478,Queens,22,11,0.298,mobile_app
WIT_00000479,Manhattan,13,4,0.328,mobile_app
WIT_00000480,Staten_Island,7,2,0.169,social_media
WIT_00000481,Staten_Island,5,1,0.402,mobile_app
WIT_00000482,Bronx,9,2,0.597,mobile_app
WIT_00000483,Manhattan,13,6,0.415,anonymous_tip
WIT_00000484,Manhattan,14,5,0.539,mobile_app
WIT_00000485,Bronx,13,5,0.265,mobile_app
WIT_00000486,Manhattan,10,5,0.384,mobile_app
WIT_00000487,Manhattan,11,7,0.106,mobile_app
WIT_00000488,Staten_Island,4,2,0.427,mobile_app
WIT_00000489,Manhattan,17,11,0.304,mobile_app
WIT_00000490,Queens,19,8,0.461,mobile_app
WIT_00000491,Manhattan,14,3,0.176,mobile_app
WIT_00000492,Brooklyn,17,6,0.327,mobile_app
WIT_00000493,Bronx,4,0,0.352,mobile_app
WIT_00000494,Manhattan,17,4,0.098,mobile_app
WIT_00000495,Staten_Island,7,1,0.183,mobile_app
WIT_00000496,Brooklyn,8,4,0.259,police_scanner
WIT_00000497,Queens,6,0,0.36,mobile_app
WIT_00000498,Bronx,9,3,0.194,mobile_app
WIT_00000499,Manhattan,14,5,0.32,mobile_app
WIT_00000500,Staten_Island,5,1,0.58,mobile_app
WIT_00000501,Queens,17,5,0.321,mobile_app
