crime_id,timestamp,date,hour,time_of_day,latitude,longitude,borough,district,h3_cell,crime_type,severity_score,victim_count,weapon_reported,police_called,estimated_police_eta_min,public_visibility_score,is_decoy_event
CRM_00000010,2025-01-01 01:45:40,2025-01-01,1,night,40.79346,-73.9468,Manhattan,Manhattan_South_5,882a1008d3fffff,pursuit,5.94,0,True,False,3.9,0.195,False
CRM_00000011,2025-01-01 01:52:57,2025-01-01,1,night,40.65132,-73.74143,Queens,Queens_West_7,882a103a67fffff,major_incident,10.0,2,False,True,5.5,0.226,False
CRM_00000012,2025-01-01 02:02:54,2025-01-01,2,night,40.72747,-73.85458,Queens,Queens_Central_9,882a100c51fffff,armed_robbery,9.07,3,True,True,11.7,0.102,False
CRM_00000013,2025-01-01 02:22:12,2025-01-01,2,night,40.85269,-73.91865,Manhattan,Manhattan_Northwest_8,882a100aebfffff,suspicious_activity,3.14,1,False,True,7.3,0.72,False
CRM_00000014,2025-01-01 02:34:13,2025-01-01,2,night,40.57417,-73.83431,Queens,Queens_Northeast_2,882a1039ebfffff,vehicle_theft,4.84,0,False,True,7.9,0.386,False
CRM_00000015,2025-01-01 02:34:54,2025-01-01,2,night,40.65216,-73.98865,Brooklyn,Brooklyn_South_5,882a107709fffff,suspicious_activity,4.36,1,False,True,6.4,0.289,False
CRM_00000016,2025-01-01 02:38:34,2025-01-01,2,night,40.73756,-73.7229,Queens,Queens_Northeast_11,882a100519fffff,suspicious_activity,2.29,1,False,True,14.1,0.044,False
CRM_00000017,2025-01-01 03:30:03,2025-01-01,3,night,40.74634,-73.79849,Queens,Queens_North_10,882a100e1bfffff,property_damage,3.78,0,False,True,7.0,0.599,False
CRM_00000018,2025-01-01 03:50:29,2025-01-01,3,night,40.85976,-73.92621,Manhattan,Manhattan_Northwest_8,882a100ae9fffff,pursuit,6.71,0,False,True,5.9,0.408,False
CRM_00000019,2025-01-01 03:51:17,2025-01-01,3,night,40.74841,-73.98298,Manhattan,Manhattan_North_1,882a100d29fffff,pursuit,7.28,0,False,False,7.0,0.311,False
CRM_00000020,2025-01-01 03:55:03,2025-01-01,3,night,40.79741,-73.95172,Manhattan,Manhattan_South_5,882a1008d7fffff,pursuit,5.18,0,False,True,5.5,0.754,False
CRM_00000021,2025-01-01 04:23:01,2025-01-01,4,night,40.64911,-73.87873,Brooklyn,Brooklyn_West_7,882a100cb1fffff,armed_robbery,8.04,2,True,True,5.3,0.712,False
CRM_00000022,2025-01-01 05:28:34,2025-01-01,5,morning,40.55872,-74.11874,Staten_Island,Staten_Island_North_1,882a1062b9fffff,assault,6.53,1,True,True,13.4,0.737,False
CRM_00000023,2025-01-01 05:34:30,2025-01-01,5,morning,40.89856,-73.81481,Bronx,Bronx_Northwest_8,882a100331fffff,assault,5.72,1,False,True,3.6,0.439,True
CRM_00000024,2025-01-01 05:45:51,2025-01-01,5,morning,40.80545,-73.96673,Manhattan,Manhattan_Southeast_4,882a100889fffff,vehicle_theft,3.71,0,True,True,4.8,0.221,True
CRM_00000025,2025-01-01 06:43:16,2025-01-01,6,morning,40.78616,-73.9731,Manhattan,Manhattan_Northeast_2,882a100883fffff,armed_robbery,7.08,3,True,True,2.8,0.498,False
CRM_00000026,2025-01-01 07:20:44,2025-01-01,7,morning,40.57681,-74.07576,Staten_Island,Staten_Island_East_3,882a1062d9fffff,suspicious_activity,2.14,0,False,True,16.6,0.379,False
CRM_00000027,2025-01-01 07:25:21,2025-01-01,7,morning,40.64804,-73.98309,Brooklyn,Brooklyn_South_5,882a10770bfffff,major_incident,10.0,1,False,False,5.8,0.182,False
CRM_00000028,2025-01-01 08:06:02,2025-01-01,8,morning,40.58842,-74.02254,Brooklyn,Brooklyn_Central_0,882a107427fffff,property_damage,3.69,1,False,True,9.2,0.292,False
CRM_00000029,2025-01-01 08:13:47,2025-01-01,8,morning,40.74696,-73.90068,Queens,Queens_Northwest_8,882a100c61fffff,major_incident,10.0,1,True,True,8.7,0.405,False
CRM_00000030,2025-01-01 08:42:41,2025-01-01,8,morning,40.75728,-73.97808,Manhattan,Manhattan_North_1,882a100d67fffff,suspicious_activity,1.93,0,False,True,6.1,0.568,False
CRM_00000031,2025-01-01 09:08:52,2025-01-01,9,morning,40.82666,-73.90662,Bronx,Bronx_Central_0,882a100a9dfffff,assault,5.08,2,False,True,7.8,0.424,False
CRM_00000032,2025-01-01 09:48:04,2025-01-01,9,morning,40.61795,-74.0071,Brooklyn,Brooklyn_Southeast_4,882a107465fffff,vehicle_theft,2.69,0,False,True,4.6,0.264,False
CRM_00000033,2025-01-01 11:02:32,2025-01-01,11,morning,40.89663,-73.86415,Bronx,Bronx_West_7,882a100169fffff,suspicious_activity,2.12,1,False,True,6.8,0.383,False
CRM_00000034,2025-01-01 11:40:44,2025-01-01,11,morning,40.67035,-73.73884,Queens,Queens_West_7,882a1005bbfffff,suspicious_activity,2.24,0,False,True,6.0,0.513,False
CRM_00000035,2025-01-01 11:43:52,2025-01-01,11,morning,40.81329,-73.83105,Bronx,Bronx_Northeast_2,882a10018bfffff,burglary,4.69,0,False,True,13.9,0.699,False
CRM_00000036,2025-01-01 12:30:10,2025-01-01,12,afternoon,40.59511,-73.93283,Brooklyn,Brooklyn_Northeast_2,882a1076e5fffff,property_damage,2.36,0,True,False,11.3,0.516,False
CRM_00000037,2025-01-01 12:40:36,2025-01-01,12,afternoon,40.80858,-73.96701,Manhattan,Manhattan_Southeast_4,882a1008c7fffff,property_damage,3.08,0,False,False,3.2,0.337,False
CRM_00000038,2025-01-01 13:51:15,2025-01-01,13,afternoon,40.81265,-73.93367,Manhattan,Manhattan_South_5,882a100ab7fffff,vehicle_theft,2.66,1,False,False,6.5,0.479,False
CRM_00000039,2025-01-01 14:04:29,2025-01-01,14,afternoon,40.76385,-73.97237,Manhattan,Manhattan_Northeast_2,882a100d61fffff,pursuit,5.46,0,False,False,5.5,0.346,False
CRM_00000040,2025-01-01 14:08:29,2025-01-01,14,afternoon,40.665,-73.96922,Brooklyn,Brooklyn_Central_9,882a10774bfffff,armed_robbery,9.12,0,True,True,2.6,0.446,False
CRM_00000041,2025-01-01 14:11:44,2025-01-01,14,afternoon,40.61207,-73.94099,Brooklyn,Brooklyn_Southwest_6,882a107631fffff,pursuit,6.76,0,False,True,14.7,0.794,False
CRM_00000042,2025-01-01 14:49:06,2025-01-01,14,afternoon,40.79894,-73.93933,Manhattan,Manhattan_South_5,882a1008d1fffff,robbery,4.17,0,False,False,3.0,0.673,False
CRM_00000043,2025-01-01 14:51:09,2025-01-01,14,afternoon,40.81752,-73.94714,Manhattan,Manhattan_South_5,882a1008cbfffff,pursuit,6.0,1,True,True,10.0,0.274,False
CRM_00000044,2025-01-01 15:13:18,2025-01-01,15,afternoon,40.78885,-73.94969,Manhattan,Manhattan_East_3,882a100899fffff,burglary,3.02,2,False,False,6.3,0.685,False
CRM_00000045,2025-01-01 15:22:32,2025-01-01,15,afternoon,40.59769,-74.00236,Brooklyn,Brooklyn_Central_0,882a107429fffff,assault,4.06,1,False,True,4.8,0.479,False
CRM_00000046,2025-01-01 15:23:30,2025-01-01,15,afternoon,40.61963,-73.91667,Brooklyn,Brooklyn_Southwest_6,882a107615fffff,burglary,3.71,0,False,True,6.4,0.731,False
CRM_00000047,2025-01-01 15:57:40,2025-01-01,15,afternoon,40.68775,-73.8794,Queens,Queens_South_5,882a100ce1fffff,armed_robbery,6.16,2,False,True,6.5,0.18,False
CRM_00000048,2025-01-01 16:03:07,2025-01-01,16,afternoon,40.57552,-74.03449,Brooklyn,Brooklyn_Central_0,882a1075c5fffff,suspicious_activity,2.34,1,False,True,6.4,0.621,False
CRM_00000049,2025-01-01 17:05:20,2025-01-01,17,evening,40.72495,-73.87,Queens,Queens_Central_9,882a100c0bfffff,armed_robbery,8.76,1,False,False,6.9,0.285,False
CRM_00000050,2025-01-01 17:06:07,2025-01-01,17,evening,40.74082,-73.98928,Manhattan,Manhattan_North_1,882a100d21fffff,major_incident,9.59,3,False,True,4.5,0.267,False
CRM_00000051,2025-01-01 17:45:44,2025-01-01,17,evening,40.5969,-74.16545,Staten_Island,Staten_Island_Northeast_2,882a10605dfffff,burglary,6.05,0,False,True,9.2,0.348,False
CRM_00000052,2025-01-01 17:50:38,2025-01-01,17,evening,40.55669,-74.1292,Staten_Island,Staten_Island_North_1,882a1062b1fffff,armed_robbery,8.65,1,True,True,6.1,0.118,False
CRM_00000053,2025-01-01 18:27:43,2025-01-01,18,evening,40.80175,-73.90995,Bronx,Bronx_Central_0,882a100f69fffff,vehicle_theft,4.27,0,False,True,4.4,0.384,False
CRM_00000054,2025-01-01 18:58:23,2025-01-01,18,evening,40.68495,-73.88912,Brooklyn,Brooklyn_Northeast_11,882a100ce7fffff,pursuit,7.25,0,False,True,6.2,0.479,False
CRM_00000055,2025-01-01 19:25:46,2025-01-01,19,evening,40.58445,-74.17278,Staten_Island,Staten_Island_Northeast_2,882a106057fffff,burglary,4.73,0,False,True,8.3,0.34,False
CRM_00000056,2025-01-01 20:19:41,2025-01-01,20,evening,40.81579,-73.95858,Manhattan,Manhattan_South_5,882a1008c1fffff,property_damage,1.48,0,False,True,5.6,0.715,True
CRM_00000057,2025-01-01 20:46:47,2025-01-01,20,evening,40.61668,-73.98748,Brooklyn,Brooklyn_South_5,882a107469fffff,robbery,7.19,2,True,True,6.2,0.637,False
CRM_00000058,2025-01-01 20:49:04,2025-01-01,20,evening,40.65699,-73.93187,Brooklyn,Brooklyn_North_10,882a107669fffff,pursuit,6.55,0,True,True,8.8,0.597,False
CRM_00000059,2025-01-01 20:49:51,2025-01-01,20,evening,40.83375,-73.9308,Manhattan,Manhattan_West_7,882a100aabfffff,suspicious_activity,1.0,0,False,True,5.6,0.307,False
CRM_00000060,2025-01-01 20:52:41,2025-01-01,20,evening,40.67746,-73.87255,Queens,Queens_South_5,882a100c8dfffff,suspicious_activity,1.92,0,False,True,6.3,0.395,False
CRM_00000061,2025-01-01 20:58:27,2025-01-01,20,evening,40.63398,-73.81259,Queens,Queens_Northeast_2,882a103b37fffff,armed_robbery,9.19,3,True,True,8.4,0.741,False
CRM_00000062,2025-01-01 21:00:01,2025-01-01,21,evening,40.83583,-73.93066,Manhattan,Manhattan_West_7,882a100a85fffff,assault,5.52,0,False,True,6.5,0.191,False
CRM_00000063,2025-01-01 21:20:16,2025-01-01,21,evening,40.83244,-73.82136,Bronx,Bronx_Northeast_2,882a1001c3fffff,major_incident,9.17,3,False,True,5.7,0.525,False
CRM_00000064,2025-01-01 21:23:21,2025-01-01,21,evening,40.80198,-73.95042,Manhattan,Manhattan_South_5,882a1008d5fffff,armed_robbery,9.27,4,True,True,5.6,0.656,False
CRM_00000065,2025-01-01 21:52:54,2025-01-01,21,evening,40.80456,-73.87565,Bronx,Bronx_North_1,882a100f49fffff,burglary,4.83,1,False,False,9.7,0.665,False
CRM_00000066,2025-01-01 22:07:38,2025-01-01,22,night,40.71558,-73.79772,Queens,Queens_Southwest_6,882a100e89fffff,burglary,4.51,0,True,False,7.3,0.645,False
CRM_00000067,2025-01-01 22:08:09,2025-01-01,22,night,40.84235,-73.91277,Manhattan,Manhattan_West_7,882a100a89fffff,assault,4.94,2,False,True,3.7,0.03,False
CRM_00000068,2025-01-01 22:09:49,2025-01-01,22,night,40.88096,-73.79625,Bronx,Bronx_Northwest_8,882a10006dfffff,major_incident,10.0,4,False,True,7.2,0.41,False
CRM_00000069,2025-01-01 22:15:09,2025-01-01,22,night,40.71535,-73.74195,Queens,Queens_West_7,882a1005e9fffff,vehicle_theft,2.89,0,False,True,6.2,0.565,True
CRM_00000070,2025-01-01 22:34:49,2025-01-01,22,night,40.79853,-73.95292,Manhattan,Manhattan_South_5,882a1008d5fffff,robbery,5.65,0,False,False,6.6,0.419,False
CRM_00000071,2025-01-01 22:43:49,2025-01-01,22,night,40.8027,-73.93763,Manhattan,Manhattan_South_5,882a1008d9fffff,pursuit,8.28,1,True,True,3.9,0.409,False
CRM_00000072,2025-01-01 22:54:30,2025-01-01,22,night,40.87475,-73.87988,Bronx,Bronx_Southeast_4,882a10012bfffff,major_incident,10.0,2,False,True,5.5,0.729,False
CRM_00000073,2025-01-01 22:55:57,2025-01-01,22,night,40.66892,-73.95369,Brooklyn,Brooklyn_Central_9,882a100db1fffff,property_damage,2.24,0,False,True,4.8,0.461,False
CRM_00000074,2025-01-01 23:05:18,2025-01-01,23,night,40.75741,-73.79323,Queens,Queens_North_10,882a100e53fffff,vehicle_theft,4.35,0,False,True,4.6,0.527,False
CRM_00000075,2025-01-01 23:08:20,2025-01-01,23,night,40.84456,-73.9268,Manhattan,Manhattan_West_7,882a100ae3fffff,suspicious_activity,2.1,0,False,True,5.9,0.538,False
CRM_00000076,2025-01-01 23:14:15,2025-01-01,23,night,40.66373,-73.86445,Brooklyn,Brooklyn_Northeast_11,882a100c83fffff,vehicle_theft,3.7,0,False,False,7.0,0.54,False
CRM_00000077,2025-01-01 23:53:16,2025-01-01,23,night,40.7895,-73.95853,Manhattan,Manhattan_South_5,882a10089dfffff,pursuit,3.78,0,False,True,4.2,0.301,False
CRM_00000078,2025-01-02 00:08:29,2025-01-02,0,night,40.61377,-73.90771,Brooklyn,Brooklyn_Southwest_6,882a107611fffff,pursuit,5.76,0,False,True,5.9,0.458,False
CRM_00000079,2025-01-02 00:12:50,2025-01-02,0,night,40.88223,-73.81671,Bronx,Bronx_Northwest_8,882a100159fffff,pursuit,5.34,0,False,True,5.9,0.272,False
CRM_00000080,2025-01-02 00:13:31,2025-01-02,0,night,40.78442,-73.9674,Manhattan,Manhattan_Northeast_2,882a100895fffff,property_damage,4.52,0,False,True,4.7,0.416,False
CRM_00000081,2025-01-02 00:14:11,2025-01-02,0,night,40.7512,-73.99584,Manhattan,Manhattan_North_1,882a107253fffff,robbery,6.14,3,False,True,6.1,0.379,False
CRM_00000082,2025-01-02 00:22:45,2025-01-02,0,night,40.84977,-73.86168,Bronx,Bronx_Southeast_4,882a10013bfffff,major_incident,9.05,2,True,True,2.3,0.605,False
CRM_00000083,2025-01-02 00:33:02,2025-01-02,0,night,40.74933,-73.86635,Queens,Queens_Central_9,882a100c41fffff,suspicious_activity,1.84,0,False,False,5.8,0.279,False
CRM_00000084,2025-01-02 00:36:05,2025-01-02,0,night,40.64953,-73.87444,Brooklyn,Brooklyn_West_7,882a100cbbfffff,robbery,6.6,2,False,False,8.7,0.384,False
CRM_00000085,2025-01-02 01:03:09,2025-01-02,1,night,40.62351,-73.95914,Brooklyn,Brooklyn_South_5,882a107627fffff,suspicious_activity,2.04,1,False,True,8.1,0.089,False
CRM_00000086,2025-01-02 01:11:30,2025-01-02,1,night,40.63513,-74.00828,Brooklyn,Brooklyn_Southeast_4,882a107739fffff,pursuit,6.37,0,False,True,3.3,0.361,False
CRM_00000087,2025-01-02 01:13:03,2025-01-02,1,night,40.79589,-73.96326,Manhattan,Manhattan_South_5,882a10088bfffff,robbery,6.91,0,True,False,4.5,0.721,False
CRM_00000088,2025-01-02 01:19:58,2025-01-02,1,night,40.84464,-73.80009,Bronx,Bronx_South_5,882a10003dfffff,assault,4.7,2,False,True,8.3,0.603,False
CRM_00000089,2025-01-02 02:00:04,2025-01-02,2,night,40.85971,-73.78924,Bronx,Bronx_South_5,882a100005fffff,assault,5.05,1,False,True,6.4,0.624,False
CRM_00000090,2025-01-02 02:00:28,2025-01-02,2,night,40.83917,-73.81992,Bronx,Bronx_South_5,882a1001cbfffff,pursuit,5.28,0,True,True,5.8,0.262,False
CRM_00000091,2025-01-02 02:01:04,2025-01-02,2,night,40.64598,-74.00994,Brooklyn,Brooklyn_Southeast_4,882a107707fffff,armed_robbery,8.52,1,True,False,4.6,0.583,False
CRM_00000092,2025-01-02 02:04:26,2025-01-02,2,night,40.86369,-73.861,Bronx,Bronx_Southeast_4,882a100139fffff,burglary,4.94,0,True,True,6.5,0.78,False
CRM_00000093,2025-01-02 02:07:26,2025-01-02,2,night,40.8494,-73.80896,Bronx,Bronx_South_5,882a100023fffff,armed_robbery,8.87,2,False,True,6.3,0.618,False
CRM_00000094,2025-01-02 02:23:05,2025-01-02,2,night,40.813,-73.94728,Manhattan,Manhattan_South_5,882a1008cbfffff,burglary,2.49,0,False,True,8.9,0.467,False
CRM_00000095,2025-01-02 02:43:35,2025-01-02,2,night,40.67426,-73.91091,Queens,Queens_Southeast_4,882a100ca5fffff,suspicious_activity,1.0,0,False,False,3.9,0.646,False
CRM_00000096,2025-01-02 02:56:33,2025-01-02,2,night,40.83763,-73.90241,Bronx,Bronx_East_3,882a100a8bfffff,pursuit,5.89,0,False,True,5.9,0.152,False
CRM_00000097,2025-01-02 02:59:12,2025-01-02,2,night,40.74791,-73.89672,Queens,Queens_Central_9,882a100c61fffff,major_incident,10.0,1,True,True,14.0,0.27,True
CRM_00000098,2025-01-02 02:59:21,2025-01-02,2,night,40.82761,-73.93844,Manhattan,Manhattan_West_7,882a100aa3fffff,assault,5.93,1,False,True,5.7,0.519,False
CRM_00000099,2025-01-02 03:12:40,2025-01-02,3,night,40.63489,-73.77012,Queens,Queens_East_3,882a103b11fffff,robbery,6.62,1,True,True,7.7,0.188,True
CRM_00000100,2025-01-02 03:31:10,2025-01-02,3,night,40.57748,-74.03499,Brooklyn,Brooklyn_Central_0,882a1075c5fffff,vehicle_theft,3.43,0,False,True,8.9,0.427,False
CRM_00000101,2025-01-02 03:59:21,2025-01-02,3,night,40.68271,-73.94384,Queens,Queens_Southeast_4,882a100d87fffff,assault,4.5,0,False,True,16.8,0.706,False
CRM_00000102,2025-01-02 05:10:19,2025-01-02,5,morning,40.75261,-73.77107,Queens,Queens_Northeast_11,882a100529fffff,assault,6.49,3,False,False,6.9,0.579,False
CRM_00000103,2025-01-02 05:18:36,2025-01-02,5,morning,40.8108,-73.84085,Bronx,Bronx_North_1,882a100183fffff,vehicle_theft,3.21,0,False,False,6.0,0.381,False
CRM_00000104,2025-01-02 05:40:11,2025-01-02,5,morning,40.6578,-73.88945,Queens,Queens_South_5,882a100cb5fffff,suspicious_activity,1.71,0,False,True,12.0,0.566,False
CRM_00000105,2025-01-02 06:00:40,2025-01-02,6,morning,40.6659,-73.98707,Brooklyn,Brooklyn_Central_9,882a107741fffff,burglary,2.94,2,False,True,8.1,0.823,False
CRM_00000106,2025-01-02 06:13:26,2025-01-02,6,morning,40.77017,-73.97265,Manhattan,Manhattan_Northeast_2,882a100d6dfffff,major_incident,9.25,2,True,True,3.1,0.622,False
CRM_00000107,2025-01-02 07:23:52,2025-01-02,7,morning,40.65603,-73.77792,Queens,Queens_Southwest_6,882a103b0bfffff,assault,7.48,2,True,True,5.7,0.703,False
CRM_00000108,2025-01-02 08:18:33,2025-01-02,8,morning,40.64708,-73.87878,Brooklyn,Brooklyn_West_7,882a100cb3fffff,robbery,6.86,0,True,True,4.9,0.445,False
CRM_00000109,2025-01-02 08:39:06,2025-01-02,8,morning,40.56898,-74.1116,Staten_Island,Staten_Island_East_3,882a106281fffff,vehicle_theft,4.25,0,False,True,14.3,0.228,False
CRM_00000110,2025-01-02 08:45:32,2025-01-02,8,morning,40.77324,-73.98355,Manhattan,Manhattan_Northeast_2,882a1008b3fffff,vehicle_theft,3.73,1,False,False,6.7,0.407,False
CRM_00000111,2025-01-02 10:05:24,2025-01-02,10,morning,40.78925,-73.9504,Manhattan,Manhattan_South_5,882a100899fffff,vehicle_theft,2.95,1,True,True,6.4,0.509,True
CRM_00000112,2025-01-02 10:26:00,2025-01-02,10,morning,40.67634,-73.74995,Queens,Queens_West_7,882a1005b1fffff,burglary,5.63,0,False,True,6.7,0.402,False
CRM_00000113,2025-01-02 10:31:08,2025-01-02,10,morning,40.59176,-73.95546,Brooklyn,Brooklyn_North_1,882a107451fffff,pursuit,5.2,0,False,True,5.5,0.406,False
CRM_00000114,2025-01-02 12:52:01,2025-01-02,12,afternoon,40.80751,-73.87549,Bronx,Bronx_North_1,882a100f49fffff,suspicious_activity,2.1,0,False,False,13.1,0.438,False
CRM_00000115,2025-01-02 12:58:37,2025-01-02,12,afternoon,40.61863,-73.90109,Brooklyn,Brooklyn_West_7,882a107619fffff,pursuit,6.65,0,True,True,6.8,0.193,False
CRM_00000116,2025-01-02 13:28:01,2025-01-02,13,afternoon,40.86699,-73.86861,Bronx,Bronx_Southeast_4,882a100107fffff,assault,5.66,1,True,True,13.5,0.737,False
CRM_00000117,2025-01-02 13:58:04,2025-01-02,13,afternoon,40.65178,-73.91755,Brooklyn,Brooklyn_Southwest_6,882a107645fffff,assault,6.53,0,False,True,7.8,0.506,False
CRM_00000118,2025-01-02 13:59:59,2025-01-02,13,afternoon,40.6651,-73.83088,Queens,Queens_Southwest_6,882a100cd3fffff,burglary,3.06,0,False,True,2.7,0.617,False
CRM_00000119,2025-01-02 14:32:38,2025-01-02,14,afternoon,40.75758,-73.98557,Manhattan,Manhattan_North_1,882a100d67fffff,property_damage,2.6,0,False,False,5.4,0.665,False
CRM_00000120,2025-01-02 14:32:43,2025-01-02,14,afternoon,40.55038,-74.13079,Staten_Island,Staten_Island_North_1,882a1062b1fffff,armed_robbery,7.91,2,True,True,12.1,0.23,False
CRM_00000121,2025-01-02 14:54:14,2025-01-02,14,afternoon,40.62382,-73.98416,Brooklyn,Brooklyn_South_5,882a107713fffff,pursuit,7.19,1,False,True,5.7,0.551,True
CRM_00000122,2025-01-02 15:23:49,2025-01-02,15,afternoon,40.67784,-73.99292,Brooklyn,Brooklyn_Central_9,882a107293fffff,burglary,3.53,0,False,False,15.4,0.433,False
CRM_00000123,2025-01-02 16:23:25,2025-01-02,16,afternoon,40.81048,-73.96202,Manhattan,Manhattan_South_5,882a1008c3fffff,suspicious_activity,2.3,0,False,True,4.6,0.526,False
CRM_00000124,2025-01-02 17:15:35,2025-01-02,17,evening,40.60246,-73.95914,Brooklyn,Brooklyn_North_1,882a10745dfffff,burglary,3.77,0,False,True,10.1,0.353,False
CRM_00000125,2025-01-02 17:32:53,2025-01-02,17,evening,40.68595,-73.89229,Queens,Queens_South_5,882a100ce7fffff,robbery,5.97,0,False,True,4.2,0.69,False
CRM_00000126,2025-01-02 18:29:56,2025-01-02,18,evening,40.61106,-73.9648,Brooklyn,Brooklyn_North_1,882a107441fffff,vehicle_theft,3.84,1,False,True,5.6,0.652,False
CRM_00000127,2025-01-02 18:55:09,2025-01-02,18,evening,40.57837,-73.98161,Brooklyn,Brooklyn_North_1,882a107415fffff,armed_robbery,9.77,4,True,True,7.0,0.123,False
CRM_00000128,2025-01-02 19:14:09,2025-01-02,19,evening,40.84489,-73.93427,Manhattan,Manhattan_West_7,882a100ae3fffff,suspicious_activity,1.46,0,False,True,9.8,0.933,False
CRM_00000129,2025-01-02 20:12:11,2025-01-02,20,evening,40.85242,-73.92973,Manhattan,Manhattan_Northwest_8,882a100ae1fffff,assault,4.96,1,False,True,3.9,0.545,False
CRM_00000130,2025-01-02 20:25:51,2025-01-02,20,evening,40.7437,-73.98748,Manhattan,Manhattan_North_1,882a100d21fffff,major_incident,10.0,5,True,True,8.0,0.62,False
CRM_00000131,2025-01-02 20:34:02,2025-01-02,20,evening,40.76155,-73.97186,Manhattan,Manhattan_Northeast_2,882a100d61fffff,suspicious_activity,2.27,1,False,False,6.6,0.121,False
CRM_00000132,2025-01-02 20:47:50,2025-01-02,20,evening,40.65246,-73.98178,Brooklyn,Brooklyn_South_5,882a107755fffff,suspicious_activity,1.55,0,False,True,8.8,0.337,False
CRM_00000133,2025-01-02 21:05:46,2025-01-02,21,evening,40.62577,-73.94275,Brooklyn,Brooklyn_Southwest_6,882a10762bfffff,suspicious_activity,1.07,0,False,False,6.9,0.596,False
CRM_00000134,2025-01-02 21:13:25,2025-01-02,21,evening,40.82731,-73.94794,Manhattan,Manhattan_West_7,882a100aa3fffff,assault,4.75,1,False,False,5.2,0.47,False
CRM_00000135,2025-01-02 21:14:15,2025-01-02,21,evening,40.62113,-73.91031,Brooklyn,Brooklyn_Southwest_6,882a10761dfffff,armed_robbery,9.85,2,True,True,4.7,0.774,False
CRM_00000136,2025-01-02 21:38:36,2025-01-02,21,evening,40.76572,-73.96678,Manhattan,Manhattan_Northeast_2,882a100d69fffff,robbery,6.58,2,False,True,4.9,0.716,False
CRM_00000137,2025-01-02 21:45:03,2025-01-02,21,evening,40.73511,-73.92401,Queens,Queens_Northwest_8,882a100d53fffff,vehicle_theft,3.64,0,False,True,4.2,0.35,False
CRM_00000138,2025-01-02 21:48:22,2025-01-02,21,evening,40.5044,-74.23866,Staten_Island,Staten_Island_Central_0,882a106e0dfffff,assault,6.03,1,True,True,7.3,0.561,False
CRM_00000139,2025-01-02 21:59:25,2025-01-02,21,evening,40.62853,-73.85838,Queens,Queens_North_1,882a103963fffff,suspicious_activity,3.11,0,False,True,11.9,0.16,False
CRM_00000140,2025-01-02 22:14:07,2025-01-02,22,night,40.63048,-74.00828,Brooklyn,Brooklyn_Southeast_4,882a107731fffff,burglary,4.73,0,False,True,6.3,0.248,False
CRM_00000141,2025-01-02 22:31:20,2025-01-02,22,night,40.82136,-73.92918,Manhattan,Manhattan_West_7,882a100ab1fffff,major_incident,9.53,4,False,True,3.5,0.82,False
CRM_00000142,2025-01-02 22:51:11,2025-01-02,22,night,40.75983,-73.98401,Manhattan,Manhattan_Northeast_2,882a100d65fffff,property_damage,1.53,0,False,False,3.6,0.541,False
CRM_00000143,2025-01-02 22:56:27,2025-01-02,22,night,40.86545,-73.92476,Manhattan,Manhattan_Northwest_8,882a100a17fffff,property_damage,1.22,0,False,False,6.1,0.102,False
