sequence_id,split,hist_t-5_lat,hist_t-5_lon,hist_t-5_hours_before_target,hist_t-4_lat,hist_t-4_lon,hist_t-4_hours_before_target,hist_t-3_lat,hist_t-3_lon,hist_t-3_hours_before_target,hist_t-2_lat,hist_t-2_lon,hist_t-2_hours_before_target,hist_t-1_lat,hist_t-1_lon,hist_t-1_hours_before_target,target_timestamp,target_latitude,target_longitude
SEQ_0000018,train,40.6559,-74.00105,2.625,40.81879,-73.96513,1.464,40.79966,-73.89192,0.518,40.73554,-73.90947,0.358,40.6727,-73.99788,0.082,2025-01-01 11:45:24.161363185,40.67256,-73.86493
SEQ_0000019,train,40.81879,-73.96513,1.576,40.79966,-73.89192,0.63,40.73554,-73.90947,0.47,40.6727,-73.99788,0.194,40.67256,-73.86493,0.112,2025-01-01 11:52:07.685644030,40.67056,-73.7387
SEQ_0000020,train,40.79966,-73.89192,1.819,40.73554,-73.90947,1.659,40.6727,-73.99788,1.383,40.67256,-73.86493,1.301,40.67056,-73.7387,1.189,2025-01-01 13:03:28.000000000,40.75774,-73.82786
SEQ_0000021,train,40.73554,-73.90947,2.127,40.6727,-73.99788,1.851,40.67256,-73.86493,1.769,40.67056,-73.7387,1.657,40.75774,-73.82786,0.468,2025-01-01 13:31:33.000000000,40.73816,-73.99669
SEQ_0000022,train,40.6727,-73.99788,2.056,40.67256,-73.86493,1.974,40.67056,-73.7387,1.862,40.75774,-73.82786,0.673,40.73816,-73.99669,0.205,2025-01-01 13:43:51.318751450,40.77478,-73.96546
SEQ_0000023,train,40.67256,-73.86493,2.202,40.67056,-73.7387,2.09,40.75774,-73.82786,0.901,40.73816,-73.99669,0.433,40.77478,-73.96546,0.227,2025-01-01 13:57:30.127341914,40.81278,-73.93348
SEQ_0000024,train,40.67056,-73.7387,2.188,40.75774,-73.82786,0.999,40.73816,-73.99669,0.531,40.77478,-73.96546,0.326,40.81278,-73.93348,0.099,2025-01-01 14:03:25.000000000,40.8287,-73.95304
SEQ_0000025,train,40.75774,-73.82786,1.038,40.73816,-73.99669,0.57,40.77478,-73.96546,0.365,40.81278,-73.93348,0.138,40.8287,-73.95304,0.039,2025-01-01 14:05:46.000000000,40.83129,-73.91836
SEQ_0000026,train,40.73816,-73.99669,1.051,40.77478,-73.96546,0.845,40.81278,-73.93348,0.618,40.8287,-73.95304,0.519,40.83129,-73.91836,0.48,2025-01-01 14:34:35.000000000,40.85775,-73.93529
SEQ_0000027,train,40.77478,-73.96546,0.976,40.81278,-73.93348,0.749,40.8287,-73.95304,0.65,40.83129,-73.91836,0.611,40.85775,-73.93529,0.131,2025-01-01 14:42:26.000000000,40.83612,-73.94672
SEQ_0000028,train,40.81278,-73.93348,0.986,40.8287,-73.95304,0.887,40.83129,-73.91836,0.848,40.85775,-73.93529,0.368,40.83612,-73.94672,0.237,2025-01-01 14:56:38.000000000,40.72714,-73.93233
SEQ_0000029,train,40.8287,-73.95304,1.215,40.83129,-73.91836,1.176,40.85775,-73.93529,0.695,40.83612,-73.94672,0.564,40.72714,-73.93233,0.328,2025-01-01 15:16:18.000000000,40.71825,-73.94513
SEQ_0000030,train,40.83129,-73.91836,1.428,40.85775,-73.93529,0.948,40.83612,-73.94672,0.817,40.72714,-73.93233,0.58,40.71825,-73.94513,0.252,2025-01-01 15:31:26.000000000,40.69945,-73.77925
SEQ_0000031,train,40.85775,-73.93529,0.971,40.83612,-73.94672,0.84,40.72714,-73.93233,0.603,40.71825,-73.94513,0.276,40.69945,-73.77925,0.023,2025-01-01 15:32:50.000000000,40.69984,-73.78622
SEQ_0000032,train,40.83612,-73.94672,0.936,40.72714,-73.93233,0.699,40.71825,-73.94513,0.371,40.69945,-73.77925,0.119,40.69984,-73.78622,0.096,2025-01-01 15:38:35.000000000,40.74648,-73.74292
SEQ_0000033,train,40.72714,-73.93233,0.764,40.71825,-73.94513,0.437,40.69945,-73.77925,0.184,40.69984,-73.78622,0.161,40.74648,-73.74292,0.065,2025-01-01 15:42:30.000000000,40.77319,-73.74467
SEQ_0000034,train,40.71825,-73.94513,0.748,40.69945,-73.77925,0.496,40.69984,-73.78622,0.472,40.74648,-73.74292,0.376,40.77319,-73.74467,0.311,2025-01-01 16:01:10.000000000,40.89053,-73.82971
SEQ_0000035,train,40.69945,-73.77925,0.913,40.69984,-73.78622,0.89,40.74648,-73.74292,0.794,40.77319,-73.74467,0.729,40.89053,-73.82971,0.418,2025-01-01 16:26:14.000000000,40.90282,-73.82971
SEQ_0000036,train,40.69984,-73.78622,1.207,40.74648,-73.74292,1.111,40.77319,-73.74467,1.046,40.89053,-73.82971,0.735,40.90282,-73.82971,0.317,2025-01-01 16:45:15.000000000,40.87631,-73.81243
SEQ_0000037,train,40.74648,-73.74292,1.355,40.77319,-73.74467,1.29,40.89053,-73.82971,0.979,40.90282,-73.82971,0.561,40.87631,-73.81243,0.244,2025-01-01 16:59:53.000000000,40.85054,-73.88971
SEQ_0000038,train,40.77319,-73.74467,1.484,40.89053,-73.82971,1.173,40.90282,-73.82971,0.755,40.87631,-73.81243,0.438,40.85054,-73.88971,0.194,2025-01-01 17:11:32.000000000,40.86334,-73.94455
SEQ_0000039,train,40.89053,-73.82971,1.191,40.90282,-73.82971,0.773,40.87631,-73.81243,0.456,40.85054,-73.88971,0.212,40.86334,-73.94455,0.018,2025-01-01 17:12:38.000000000,40.86167,-73.94039
SEQ_0000040,train,40.90282,-73.82971,0.824,40.87631,-73.81243,0.507,40.85054,-73.88971,0.263,40.86334,-73.94455,0.069,40.86167,-73.94039,0.051,2025-01-01 17:15:41.000000000,40.82123,-73.94523
SEQ_0000041,train,40.87631,-73.81243,0.738,40.85054,-73.88971,0.494,40.86334,-73.94455,0.3,40.86167,-73.94039,0.282,40.82123,-73.94523,0.231,2025-01-01 17:29:33.000000000,40.80967,-73.96757
SEQ_0000042,train,40.85054,-73.88971,0.504,40.86334,-73.94455,0.31,40.86167,-73.94039,0.292,40.82123,-73.94523,0.241,40.80967,-73.96757,0.01,2025-01-01 17:30:09.000000000,40.80203,-73.97045
SEQ_0000043,train,40.86334,-73.94455,0.378,40.86167,-73.94039,0.36,40.82123,-73.94523,0.309,40.80967,-73.96757,0.078,40.80203,-73.97045,0.068,2025-01-01 17:34:14.000000000,40.79958,-73.96684
SEQ_0000044,train,40.86167,-73.94039,0.373,40.82123,-73.94523,0.322,40.80967,-73.96757,0.091,40.80203,-73.97045,0.081,40.79958,-73.96684,0.013,2025-01-01 17:35:00.000000000,40.79501,-73.96727
SEQ_0000045,train,40.82123,-73.94523,0.612,40.80967,-73.96757,0.381,40.80203,-73.97045,0.371,40.79958,-73.96684,0.302,40.79501,-73.96727,0.29,2025-01-01 17:52:23.000000000,40.86712,-73.93657
SEQ_0000046,train,40.80967,-73.96757,0.639,40.80203,-73.97045,0.629,40.79958,-73.96684,0.561,40.79501,-73.96727,0.548,40.86712,-73.93657,0.259,2025-01-01 18:07:54.000000000,40.84252,-73.88397
SEQ_0000047,train,40.80203,-73.97045,1.376,40.79958,-73.96684,1.308,40.79501,-73.96727,1.295,40.86712,-73.93657,1.005,40.84252,-73.88397,0.746,2025-01-01 18:52:41.000000000,40.60379,-74.02851
SEQ_0000048,train,40.79958,-73.96684,1.628,40.79501,-73.96727,1.616,40.86712,-73.93657,1.326,40.84252,-73.88397,1.067,40.60379,-74.02851,0.321,2025-01-01 19:11:56.000000000,40.60544,-73.99106
SEQ_0000049,train,40.79501,-73.96727,1.887,40.86712,-73.93657,1.597,40.84252,-73.88397,1.338,40.60379,-74.02851,0.592,40.60544,-73.99106,0.271,2025-01-01 19:28:12.000000000,40.60231,-73.88123
SEQ_0000050,train,40.86712,-73.93657,1.728,40.84252,-73.88397,1.47,40.60379,-74.02851,0.723,40.60544,-73.99106,0.402,40.60231,-73.88123,0.131,2025-01-01 19:36:05.000000000,40.61266,-73.8449
SEQ_0000051,train,40.84252,-73.88397,1.538,40.60379,-74.02851,0.792,40.60544,-73.99106,0.471,40.60231,-73.88123,0.2,40.61266,-73.8449,0.069,2025-01-01 19:40:12.000000000,40.61706,-73.78884
SEQ_0000052,train,40.60379,-74.02851,0.948,40.60544,-73.99106,0.627,40.60231,-73.88123,0.356,40.61266,-73.8449,0.225,40.61706,-73.78884,0.156,2025-01-01 19:49:34.000000000,40.61404,-73.76974
SEQ_0000053,train,40.60544,-73.99106,0.876,40.60231,-73.88123,0.605,40.61266,-73.8449,0.474,40.61706,-73.78884,0.405,40.61404,-73.76974,0.249,2025-01-01 20:04:31.000000000,40.6973,-73.81098
SEQ_0000054,train,40.60231,-73.88123,0.918,40.61266,-73.8449,0.786,40.61706,-73.78884,0.718,40.61404,-73.76974,0.561,40.6973,-73.81098,0.312,2025-01-01 20:23:15.000000000,40.81043,-73.90869
SEQ_0000055,train,40.61266,-73.8449,0.867,40.61706,-73.78884,0.798,40.61404,-73.76974,0.642,40.6973,-73.81098,0.393,40.81043,-73.90869,0.081,2025-01-01 20:28:05.000000000,40.8141,-73.89811
SEQ_0000056,train,40.61706,-73.78884,0.907,40.61404,-73.76974,0.751,40.6973,-73.81098,0.502,40.81043,-73.90869,0.19,40.8141,-73.89811,0.109,2025-01-01 20:34:38.000000000,40.84203,-73.90284
SEQ_0000057,train,40.61404,-73.76974,0.828,40.6973,-73.81098,0.579,40.81043,-73.90869,0.266,40.8141,-73.89811,0.186,40.84203,-73.90284,0.077,2025-01-01 20:39:14.000000000,40.83333,-73.92416
SEQ_0000058,train,40.6973,-73.81098,0.793,40.81043,-73.90869,0.481,40.8141,-73.89811,0.4,40.84203,-73.90284,0.291,40.83333,-73.92416,0.214,2025-01-01 20:52:05.000000000,40.84447,-73.91569
SEQ_0000059,train,40.81043,-73.90869,0.491,40.8141,-73.89811,0.411,40.84203,-73.90284,0.302,40.83333,-73.92416,0.225,40.84447,-73.91569,0.011,2025-01-01 20:52:44.000000000,40.84749,-73.92127
SEQ_0000060,train,40.8141,-73.89811,0.75,40.84203,-73.90284,0.641,40.83333,-73.92416,0.564,40.84447,-73.91569,0.35,40.84749,-73.92127,0.339,2025-01-01 21:13:05.000000000,40.77406,-73.96099
SEQ_0000061,train,40.84203,-73.90284,0.645,40.83333,-73.92416,0.568,40.84447,-73.91569,0.354,40.84749,-73.92127,0.343,40.77406,-73.96099,0.004,2025-01-01 21:13:19.000000000,40.7776,-73.95662
SEQ_0000062,train,40.83333,-73.92416,0.574,40.84447,-73.91569,0.36,40.84749,-73.92127,0.349,40.77406,-73.96099,0.01,40.7776,-73.95662,0.006,2025-01-01 21:13:40.000000000,40.77521,-73.96095
SEQ_0000063,train,40.84447,-73.91569,0.674,40.84749,-73.92127,0.663,40.77406,-73.96099,0.324,40.7776,-73.95662,0.32,40.77521,-73.96095,0.314,2025-01-01 21:32:30.939001717,40.80257,-73.95237
SEQ_0000064,train,40.84749,-73.92127,0.68,40.77406,-73.96099,0.341,40.7776,-73.95662,0.337,40.77521,-73.96095,0.331,40.80257,-73.95237,0.017,2025-01-01 21:33:32.000000000,40.81844,-73.96407
SEQ_0000065,train,40.77406,-73.96099,0.418,40.7776,-73.95662,0.414,40.77521,-73.96095,0.408,40.80257,-73.95237,0.094,40.81844,-73.96407,0.077,2025-01-01 21:38:10.000000000,40.81935,-73.96414
SEQ_0000066,train,40.7776,-73.95662,0.476,40.77521,-73.96095,0.47,40.80257,-73.95237,0.156,40.81844,-73.96407,0.139,40.81935,-73.96414,0.062,2025-01-01 21:41:53.000000000,40.80223,-73.9511
SEQ_0000067,train,40.77521,-73.96095,0.554,40.80257,-73.95237,0.24,40.81844,-73.96407,0.223,40.81935,-73.96414,0.146,40.80223,-73.9511,0.084,2025-01-01 21:46:54.000000000,40.81857,-73.96494
SEQ_0000068,train,40.80257,-73.95237,0.352,40.81844,-73.96407,0.335,40.81935,-73.96414,0.258,40.80223,-73.9511,0.196,40.81857,-73.96494,0.112,2025-01-01 21:53:37.000000000,40.84814,-73.9301
SEQ_0000069,train,40.81844,-73.96407,0.474,40.81935,-73.96414,0.397,40.80223,-73.9511,0.335,40.81857,-73.96494,0.252,40.84814,-73.9301,0.14,2025-01-01 22:02:00.000000000,40.85169,-73.93848
SEQ_0000070,train,40.81935,-73.96414,0.403,40.80223,-73.9511,0.341,40.81857,-73.96494,0.257,40.84814,-73.9301,0.145,40.85169,-73.93848,0.006,2025-01-01 22:02:20.000000000,40.8645,-73.94189
SEQ_0000071,train,40.80223,-73.9511,0.574,40.81857,-73.96494,0.491,40.84814,-73.9301,0.379,40.85169,-73.93848,0.239,40.8645,-73.94189,0.234,2025-01-01 22:16:20.816196710,40.71317,-73.7951
SEQ_0000072,train,40.81857,-73.96494,0.529,40.84814,-73.9301,0.417,40.85169,-73.93848,0.277,40.8645,-73.94189,0.272,40.71317,-73.7951,0.038,2025-01-01 22:18:38.000000000,40.78511,-73.80139
SEQ_0000073,train,40.84814,-73.9301,0.566,40.85169,-73.93848,0.427,40.8645,-73.94189,0.421,40.71317,-73.7951,0.188,40.78511,-73.80139,0.149,2025-01-01 22:27:36.000000000,40.76715,-73.78768
SEQ_0000074,train,40.85169,-73.93848,0.519,40.8645,-73.94189,0.513,40.71317,-73.7951,0.279,40.78511,-73.80139,0.241,40.76715,-73.78768,0.092,2025-01-01 22:33:07.000000000,40.75616,-73.78922
SEQ_0000075,train,40.8645,-73.94189,0.676,40.71317,-73.7951,0.443,40.78511,-73.80139,0.405,40.76715,-73.78768,0.255,40.75616,-73.78922,0.163,2025-01-01 22:42:54.727096932,40.79842,-73.95395
SEQ_0000076,train,40.71317,-73.7951,0.572,40.78511,-73.80139,0.534,40.76715,-73.78768,0.384,40.75616,-73.78922,0.292,40.79842,-73.95395,0.129,2025-01-01 22:50:40.000000000,40.79497,-73.9761
SEQ_0000077,train,40.78511,-73.80139,0.577,40.76715,-73.78768,0.428,40.75616,-73.78922,0.336,40.79842,-73.95395,0.172,40.79497,-73.9761,0.043,2025-01-01 22:53:15.000000000,40.77954,-73.96467
SEQ_0000078,train,40.76715,-73.78768,0.449,40.75616,-73.78922,0.357,40.79842,-73.95395,0.194,40.79497,-73.9761,0.065,40.77954,-73.96467,0.022,2025-01-01 22:54:33.000000000,40.77854,-73.98061
SEQ_0000079,train,40.75616,-73.78922,1.011,40.79842,-73.95395,0.847,40.79497,-73.9761,0.718,40.77954,-73.96467,0.675,40.77854,-73.98061,0.653,2025-01-01 23:33:44.881136449,40.77642,-73.78774
SEQ_0000080,train,40.79842,-73.95395,0.92,40.79497,-73.9761,0.791,40.77954,-73.96467,0.748,40.77854,-73.98061,0.726,40.77642,-73.78774,0.073,2025-01-01 23:38:08.263569831,40.77281,-73.80178
SEQ_0000081,train,40.79497,-73.9761,0.795,40.77954,-73.96467,0.752,40.77854,-73.98061,0.73,40.77642,-73.78774,0.077,40.77281,-73.80178,0.004,2025-01-01 23:38:22.140016130,40.77576,-73.80555
SEQ_0000082,train,40.77954,-73.96467,0.981,40.77854,-73.98061,0.959,40.77642,-73.78774,0.306,40.77281,-73.80178,0.233,40.77576,-73.80555,0.229,2025-01-01 23:52:07.084150078,40.68975,-73.95194
SEQ_0000083,train,40.77854,-73.98061,1.211,40.77642,-73.78774,0.558,40.77281,-73.80178,0.485,40.77576,-73.80555,0.481,40.68975,-73.95194,0.252,2025-01-02 00:07:14.000000000,40.59717,-74.02831
SEQ_0000084,train,40.77642,-73.78774,1.358,40.77281,-73.80178,1.285,40.77576,-73.80555,1.281,40.68975,-73.95194,1.052,40.59717,-74.02831,0.8,2025-01-02 00:55:13.000000000,40.80421,-73.88818
SEQ_0000085,train,40.77281,-73.80178,1.78,40.77576,-73.80555,1.776,40.68975,-73.95194,1.547,40.59717,-74.02831,1.295,40.80421,-73.88818,0.496,2025-01-02 01:24:57.109150196,40.81874,-73.96475
SEQ_0000086,train,40.77576,-73.80555,1.806,40.68975,-73.95194,1.576,40.59717,-74.02831,1.324,40.80421,-73.88818,0.525,40.81874,-73.96475,0.029,2025-01-02 01:26:42.168216212,40.79575,-73.96247
SEQ_0000087,train,40.68975,-73.95194,1.955,40.59717,-74.02831,1.703,40.80421,-73.88818,0.903,40.81874,-73.96475,0.408,40.79575,-73.96247,0.379,2025-01-02 01:49:25.000000000,40.63406,-73.98473
SEQ_0000088,train,40.59717,-74.02831,1.779,40.80421,-73.88818,0.979,40.81874,-73.96475,0.483,40.79575,-73.96247,0.454,40.63406,-73.98473,0.076,2025-01-02 01:53:57.000000000,40.666,-73.95772
SEQ_0000089,train,40.80421,-73.88818,1.691,40.81874,-73.96475,1.196,40.79575,-73.96247,1.167,40.63406,-73.98473,0.788,40.666,-73.95772,0.712,2025-01-02 02:36:42.000000000,40.66716,-73.99756
SEQ_0000090,train,40.81874,-73.96475,1.499,40.79575,-73.96247,1.47,40.63406,-73.98473,1.091,40.666,-73.95772,1.016,40.66716,-73.99756,0.303,2025-01-02 02:54:53.300580709,40.67417,-73.91095
SEQ_0000091,train,40.79575,-73.96247,1.621,40.63406,-73.98473,1.243,40.666,-73.95772,1.167,40.66716,-73.99756,0.455,40.67417,-73.91095,0.151,2025-01-02 03:03:58.344886969,40.59436,-73.94464
SEQ_0000092,train,40.63406,-73.98473,1.265,40.666,-73.95772,1.19,40.66716,-73.99756,0.477,40.67417,-73.91095,0.174,40.59436,-73.94464,0.022,2025-01-02 03:05:19.301161310,40.60283,-73.93435
SEQ_0000093,train,40.666,-73.95772,1.865,40.66716,-73.99756,1.152,40.67417,-73.91095,0.849,40.59436,-73.94464,0.698,40.60283,-73.93435,0.675,2025-01-02 03:45:50.000000000,40.60325,-73.98318
SEQ_0000094,train,40.66716,-73.99756,2.9,40.67417,-73.91095,2.597,40.59436,-73.94464,2.445,40.60283,-73.93435,2.423,40.60325,-73.98318,1.748,2025-01-02 05:30:41.000000000,40.55563,-74.12759
SEQ_0000095,train,40.67417,-73.91095,4.61,40.59436,-73.94464,4.458,40.60283,-73.93435,4.436,40.60325,-73.98318,3.761,40.55563,-74.12759,2.013,2025-01-02 07:31:28.880389588,40.65582,-73.77708
SEQ_0000096,train,40.59436,-73.94464,4.494,40.60283,-73.93435,4.471,40.60325,-73.98318,3.796,40.55563,-74.12759,2.048,40.65582,-73.77708,0.035,2025-01-02 07:33:35.000000000,40.6441,-73.75942
SEQ_0000097,train,40.60283,-73.93435,5.007,40.60325,-73.98318,4.332,40.55563,-74.12759,2.585,40.65582,-73.77708,0.571,40.6441,-73.75942,0.536,2025-01-02 08:05:45.730122251,40.64191,-73.86092
SEQ_0000098,train,40.60325,-73.98318,4.665,40.55563,-74.12759,2.917,40.65582,-73.77708,0.904,40.6441,-73.75942,0.869,40.64191,-73.86092,0.333,2025-01-02 08:25:42.741760088,40.64701,-73.87846
SEQ_0000099,train,40.55563,-74.12759,5.035,40.65582,-73.77708,3.022,40.6441,-73.75942,2.987,40.64191,-73.86092,2.45,40.64701,-73.87846,2.118,2025-01-02 10:32:46.983203526,40.67628,-73.7501
SEQ_0000100,train,40.65582,-73.77708,4.314,40.6441,-73.75942,4.279,40.64191,-73.86092,3.743,40.64701,-73.87846,3.411,40.67628,-73.7501,1.293,2025-01-02 11:50:21.000000000,40.76847,-73.77962
SEQ_0000101,train,40.6441,-73.75942,4.757,40.64191,-73.86092,4.22,40.64701,-73.87846,3.888,40.67628,-73.7501,1.77,40.76847,-73.77962,0.477,2025-01-02 12:18:59.000000000,40.62968,-73.88847
SEQ_0000102,train,40.64191,-73.86092,4.49,40.64701,-73.87846,4.158,40.67628,-73.7501,2.04,40.76847,-73.77962,0.747,40.62968,-73.88847,0.27,2025-01-02 12:35:11.000000000,40.6323,-73.90779
SEQ_0000103,train,40.64701,-73.87846,4.23,40.67628,-73.7501,2.112,40.76847,-73.77962,0.819,40.62968,-73.88847,0.342,40.6323,-73.90779,0.072,2025-01-02 12:39:30.663453273,40.79562,-73.88656
SEQ_0000104,train,40.67628,-73.7501,2.468,40.76847,-73.77962,1.175,40.62968,-73.88847,0.698,40.6323,-73.90779,0.428,40.79562,-73.88656,0.355,2025-01-02 13:00:50.000000000,40.80389,-73.87003
SEQ_0000105,train,40.76847,-73.77962,1.181,40.62968,-73.88847,0.704,40.6323,-73.90779,0.434,40.79562,-73.88656,0.362,40.80389,-73.87003,0.006,2025-01-02 13:01:12.848973405,40.81374,-73.86911
SEQ_0000106,train,40.62968,-73.88847,0.827,40.6323,-73.90779,0.557,40.79562,-73.88656,0.485,40.80389,-73.87003,0.129,40.81374,-73.86911,0.123,2025-01-02 13:08:35.000000000,40.81469,-73.86226
SEQ_0000107,train,40.6323,-73.90779,0.724,40.79562,-73.88656,0.652,40.80389,-73.87003,0.297,40.81374,-73.86911,0.29,40.81469,-73.86226,0.168,2025-01-02 13:18:38.000000000,40.81636,-73.8467
SEQ_0000108,train,40.79562,-73.88656,0.824,40.80389,-73.87003,0.469,40.81374,-73.86911,0.463,40.81469,-73.86226,0.34,40.81636,-73.8467,0.172,2025-01-02 13:28:58.000000000,40.84631,-73.91214
SEQ_0000109,train,40.80389,-73.87003,0.827,40.81374,-73.86911,0.821,40.81469,-73.86226,0.698,40.81636,-73.8467,0.53,40.84631,-73.91214,0.358,2025-01-02 13:50:27.000000000,40.83329,-73.81213
SEQ_0000110,train,40.81374,-73.86911,0.953,40.81469,-73.86226,0.831,40.81636,-73.8467,0.663,40.84631,-73.91214,0.491,40.83329,-73.81213,0.133,2025-01-02 13:58:25.000000000,40.85362,-73.79364
SEQ_0000111,train,40.81469,-73.86226,0.982,40.81636,-73.8467,0.814,40.84631,-73.91214,0.642,40.83329,-73.81213,0.284,40.85362,-73.79364,0.151,2025-01-02 14:07:29.281757587,40.6874,-73.88515
SEQ_0000112,train,40.81636,-73.8467,0.912,40.84631,-73.91214,0.74,40.83329,-73.81213,0.382,40.85362,-73.79364,0.249,40.6874,-73.88515,0.098,2025-01-02 14:13:22.904084771,40.65142,-73.9173
SEQ_0000113,train,40.84631,-73.91214,0.881,40.83329,-73.81213,0.523,40.85362,-73.79364,0.39,40.6874,-73.88515,0.239,40.65142,-73.9173,0.141,2025-01-02 14:21:50.000000000,40.67601,-73.98528
SEQ_0000114,train,40.83329,-73.81213,0.762,40.85362,-73.79364,0.629,40.6874,-73.88515,0.478,40.65142,-73.9173,0.379,40.67601,-73.98528,0.239,2025-01-02 14:36:09.000000000,40.61188,-73.94244
SEQ_0000115,train,40.85362,-73.79364,0.817,40.6874,-73.88515,0.666,40.65142,-73.9173,0.568,40.67601,-73.98528,0.427,40.61188,-73.94244,0.188,2025-01-02 14:47:27.000000000,40.66106,-73.87667
SEQ_0000116,train,40.6874,-73.88515,1.114,40.65142,-73.9173,1.015,40.67601,-73.98528,0.874,40.61188,-73.94244,0.636,40.66106,-73.87667,0.448,2025-01-02 15:14:18.000000000,40.58743,-73.93386
SEQ_0000117,train,40.65142,-73.9173,1.265,40.67601,-73.98528,1.124,40.61188,-73.94244,0.885,40.66106,-73.87667,0.697,40.58743,-73.93386,0.249,2025-01-02 15:29:16.000000000,40.63925,-73.90907
SEQ_0000118,train,40.67601,-73.98528,1.378,40.61188,-73.94244,1.139,40.66106,-73.87667,0.951,40.58743,-73.93386,0.504,40.63925,-73.90907,0.254,2025-01-02 15:44:31.000000000,40.6782,-73.90175
